time	V(tr)	V(vc)
9.199300000000001e-002	9.000000e-001	6.309148e-001
9.200000000000000e-002	3.000000e+000	6.309149e-001
9.205814499423905e-002	3.000000e+000	6.309150e-001
9.211628998847810e-002	3.000000e+000	6.309151e-001
9.217443498271714e-002	3.000000e+000	6.309151e-001
9.223257997695619e-002	3.000000e+000	6.309152e-001
9.229072497119524e-002	3.000000e+000	6.309152e-001
9.234886996543429e-002	3.000000e+000	6.309152e-001
9.240701495967334e-002	3.000000e+000	6.309151e-001
9.599000000000001e-002	3.000000e+000	6.309151e-001
9.599300000000001e-002	2.100000e+000	6.309151e-001
9.599700000000001e-002	9.000000e-001	6.309151e-001
9.600000000000000e-002	0.000000e+000	6.309150e-001
9.600042402673498e-002	0.000000e+000	6.309150e-001
9.600127208020493e-002	0.000000e+000	6.309150e-001
9.600296818714482e-002	0.000000e+000	6.309149e-001
9.600631838766303e-002	0.000000e+000	6.309146e-001
9.603015916932088e-002	0.000000e+000	6.309130e-001
9.605639073355937e-002	0.000000e+000	6.309119e-001
9.610885386203635e-002	0.000000e+000	6.309106e-001
9.620748667453635e-002	0.000000e+000	6.309096e-001
9.630611948703635e-002	0.000000e+000	6.309092e-001
1.009370117187500e-001	0.000000e+000	6.309100e-001
1.010000000000000e-001	0.000000e+000	6.309100e-001
