TIME  IN1  IN2
1.699  4.043579  4.432373
1.689  3.69873  4.4104
1.68  3.527832  4.400635
1.67  3.356934  4.39209
1.66  3.186646  4.383545
1.65  3.018799  4.375
1.641  2.684326  4.360962
1.631  2.5177  4.353027
1.621  2.352295  4.346313
1.611  2.1875  4.34082
1.602  2.023315  4.333496
1.592  1.697998  4.32251
1.582  1.534424  4.316406
1.572  1.37207  4.310913
1.563  1.210327  4.30542
1.553  1.049805  4.300537
1.543  0.72937  4.290161
1.533  0.568237  4.285889
1.523  0.408325  4.280396
1.514  0.248413  4.275513
1.504  0.089722  4.271851
1.494  -0.06897  4.267578
1.484  -0.393066  3.028564
1.475  -0.596313  -4.561157
1.465  -0.74707  -4.591064
1.455  -0.90332  -4.579468
1.445  -1.060791  -4.554443
1.436  -1.375122  -4.499512
1.426  -1.530762  -4.475098
1.416  -1.687622  -4.451904
1.406  -1.844482  -4.430542
1.396  -2.001343  -4.4104
1.387  -2.314453  -4.37561
1.377  -2.470703  -4.359741
1.367  -2.625732  -4.345093
1.357  -2.782593  -4.332275
1.348  -2.938232  -4.320068
1.338  -3.248901  -4.297485
1.328  -3.405151  -4.28833
1.318  -3.561401  -4.279175
1.309  -3.716431  -4.27124
1.299  -3.873901  -4.263916
1.289  -4.025879  -4.256592
1.279  -4.336548  -4.244995
1.27  -4.492188  -4.232788
1.26  -4.641113  -3.303833
1.25  -4.779053  -0.269775
1.24  -4.868164  1.917725
1.23  -4.574585  -3.493652
1.221  -4.399414  -4.234619
1.211  -4.221802  -4.241333
1.201  -4.046021  -4.234009
1.191  -3.872681  -4.223633
1.182  -3.529053  -4.202881
1.172  -3.358154  -4.192505
1.162  -3.188477  -4.18335
1.152  -3.019409  -4.174194
1.143  -2.852783  -4.165649
1.133  -2.521362  -4.151001
1.123  -2.354736  -4.143066
1.113  -2.189331  -4.134521
1.104  -2.025146  -4.127197
1.094  -1.862183  -4.121094
1.084  -1.536255  -4.108276
1.074  -1.374512  -4.102783
1.064  -1.212158  -4.09668
1.055  -1.051636  -4.090576
1.045  -0.891113  -4.085693
1.035  -0.72998  -4.0802
1.025  -0.410156  -4.070435
1.016  -0.252686  -4.066772
1.006  -0.092773  -4.0625
996.094  0.065308  -4.049072
986.328  0.223999  -4.024658
976.563  0.59082  4.802246
966.797  0.745239  4.807129
957.031  0.900879  4.789429
947.266  1.05835  4.765015
937.5  1.21521  4.740601
927.734  1.5271  4.692383
917.969  1.68335  4.671021
908.203  1.84021  4.651489
898.438  1.99707  4.633179
888.672  2.15332  4.615479
878.906  2.4646  4.586182
869.141  2.62085  4.573364
859.375  2.776489  4.562988
849.609  2.93335  4.551392
839.844  3.087158  4.541626
830.078  3.399048  4.525757
820.313  3.555298  4.518433
810.547  3.710938  4.51355
800.781  3.866577  4.509277
791.016  4.022217  4.506226
781.25  4.178467  4.503784
771.484  4.493408  4.512329
761.719  4.6521  4.559937
751.953  4.810791  4.706421
742.188  4.920654  4.827271
732.422  4.767456  4.694824
722.656  4.406128  4.466553
712.891  4.229736  4.446411
703.125  4.053955  4.432373
693.359  3.881226  4.421997
683.594  3.709106  4.4104
673.828  3.36792  4.39209
664.063  3.198242  4.383545
654.297  3.029785  4.37561
