TIME  IN1  IN2
1.445  -1.120605  -4.065552
1.436  -1.434326  -2.276001
1.426  -1.583862  4.82666
1.416  -1.746216  4.830322
1.406  -1.906738  4.811401
1.396  -2.064819  4.784546
1.387  -2.37915  4.724731
1.377  -2.536621  4.697266
1.367  -2.692261  4.671021
1.357  -2.850342  4.645996
1.348  -3.007202  4.623413
1.338  -3.317871  4.58252
1.328  -3.475952  4.562988
1.318  -3.632812  4.546509
1.309  -3.789062  4.529419
1.299  -3.944092  4.51416
1.289  -4.099731  4.499512
1.279  -4.411621  4.473267
1.27  -4.56604  4.46228
1.26  -4.72168  4.451294
1.25  -4.875488  4.440308
1.24  -4.852295  4.429932
1.23  -4.494019  4.412842
1.221  -4.316406  4.404907
1.211  -4.138794  4.398804
1.201  -3.963623  4.390869
1.191  -3.792114  4.382935
1.182  -3.446045  4.372559
1.172  -3.273926  4.366455
1.162  -3.104248  4.360962
1.152  -2.936401  4.3573
1.143  -2.768555  4.351807
1.133  -2.434692  4.343262
1.123  -2.268066  4.34021
1.113  -2.102661  4.335938
1.104  -1.938477  4.333496
1.094  -1.775513  4.329224
1.084  -1.447144  4.32373
1.074  -1.28418  4.321899
1.064  -1.123047  4.319458
1.055  -0.961914  4.315796
1.045  -0.799561  4.315186
1.035  -0.637817  4.312134
1.025  -0.317993  4.309082
1.016  -0.15686  4.308472
1.006  0.001221  4.30542
996.094  0.159912  4.303589
986.328  0.319214  4.302368
976.563  0.635986  4.299316
966.797  0.794678  4.299316
957.031  0.953979  4.298096
947.266  1.112061  4.296875
937.5  1.270142  4.297485
927.734  1.5802  1.763306
917.969  1.733398  -4.578247
908.203  1.895752  -4.597168
898.438  2.054443  -4.581299
888.672  2.211914  -4.552612
878.906  2.525635  -4.493408
869.141  2.682495  -4.466553
859.375  2.839966  -4.439087
849.609  2.994995  -4.415894
839.844  3.151855  -4.3927
830.078  3.465576  -4.351196
820.313  3.621216  -4.333496
810.547  3.778687  -4.316406
800.781  3.934326  -4.299927
791.016  4.091187  -4.284058
781.25  4.249268  -4.27002
771.484  4.56665  -4.243774
