TIME  IN1  IN2
1.309  3.829346  -0.296021
1.299  3.812866  -0.258789
1.289  3.798828  -0.222778
1.279  3.772583  -0.152588
1.27  3.761597  -0.118408
1.26  3.75061  -0.084839
1.25  3.740234  -0.05188
1.24  3.73291  -0.018921
1.23  3.717651  0.044556
1.221  3.710327  0.076294
1.211  3.706055  0.107422
1.201  3.69812  0.136719
1.191  3.694458  0.167847
1.182  3.687744  0.227051
1.172  3.682861  0.255127
1.162  3.68103  0.283813
1.152  3.67981  0.31311
1.143  3.676147  0.341187
1.133  3.674316  0.396729
1.123  3.673096  0.424194
1.113  3.673096  0.45166
1.104  3.673096  0.477905
1.094  3.672485  0.504761
1.084  3.672485  0.556641
1.074  3.673706  0.582886
1.064  3.673706  0.60791
1.055  3.675537  0.634155
1.045  3.676147  0.658569
1.035  3.010254  0.679932
1.025  -3.656006  0.588989
1.016  -3.640747  0.549316
1.006  -3.621216  0.509644
996.094  -3.601074  0.471802
986.328  -3.582153  0.435181
976.563  -3.549194  0.362549
966.797  -3.533936  0.328369
957.031  -3.520508  0.2948
947.266  -3.508911  0.26062
937.5  -3.497925  0.227051
927.734  -3.477173  0.163574
917.969  -3.469238  0.131226
908.203  -3.461304  0.101318
898.438  -3.4552  0.070801
888.672  -3.449097  0.040894
878.906  -3.438721  -0.018921
869.141  -3.436279  -0.047607
859.375  -3.435669  -0.076294
849.609  -3.433228  -0.105591
839.844  -3.428955  -0.132446
830.078  -3.423462  -0.187988
820.313  -3.421631  -0.215454
810.547  -3.419189  -0.241699
800.781  -3.417358  -0.269165
791.016  -3.414917  -0.294189
781.25  -3.413696  -0.321045
771.484  -3.411255  -0.372314
761.719  -3.409424  -0.397339
751.953  -3.407593  -0.422363
742.188  -3.406982  -0.447998
732.422  -3.405151  -0.471802
722.656  -3.400879  -0.519409
712.891  -3.398438  -0.543823
703.125  -3.392944  -0.566406
693.359  -3.38623  -0.59082
683.594  -2.13623  -0.604858
673.828  3.933105  -0.509644
664.063  3.916016  -0.46936
654.297  3.896484  -0.427856
644.531  3.875732  -0.388184
634.766  3.855591  -0.349121
625  3.82019  -0.275269
615.234  3.804321  -0.238647
605.469  3.790283  -0.202637
595.703  3.778076  -0.167847
585.938  3.765869  -0.133667
576.172  3.745117  -0.067139
566.406  3.736572  -0.033569
556.641  3.727417  -0.001831
546.875  3.720703  0.030518
537.109  3.713379  0.062256
527.344  3.707275  0.093994
517.578  3.69751  0.154419
507.813  3.692017  0.183716
498.047  3.688354  0.213623
488.281  3.686523  0.24353
478.516  3.682251  0.272217
468.75  3.677979  0.328369
458.984  3.676758  0.357666
449.219  3.674927  0.385132
439.453  3.673706  0.411987
429.688  3.673096  0.439453
419.922  3.672485  0.492554
410.156  3.672485  0.519409
400.391  3.673096  0.546265
390.625  3.673096  0.571289
380.859  3.673706  0.596313
371.094  3.675537  0.648193
361.328  3.677368  0.673218
351.563  -1.166382  0.656128
341.797  -3.659668  0.606689
332.031  -3.648682  0.566406
322.266  -3.609619  0.488281
312.5  -3.590088  0.450439
302.734  -3.571777  0.413818
292.969  -3.555908  0.377808
283.203  -3.540039  0.343018
273.438  -3.526611  0.308228
263.672  -3.502197  0.241089
253.906  -3.491211  0.209351
244.141  -3.482666  0.176392
234.375  -3.473511  0.145874
224.609  -3.465576  0.114136
214.844  -3.451538  0.053101
205.078  -3.446045  0.022583
195.313  -3.440552  -0.006714
185.547  -3.436279  -0.0354
175.781  -3.4375  -0.064087
166.016  -3.430176  -0.12085
156.25  -3.427734  -0.149536
146.484  -3.424683  -0.176392
136.719  -3.422852  -0.204468
126.953  -3.42041  -0.230713
117.188  -3.416138  -0.283813
107.422  -3.414917  -0.310059
97.656  -3.413086  -0.335083
87.891  -3.411255  -0.361938
78.125  -3.410034  -0.386963
68.359  -3.406982  -0.437012
58.594  -3.405762  -0.462036
48.828  -3.403931  -0.48584
39.063  -3.4021  -0.509644
29.297  -3.399048  -0.533447
19.531  -3.394775  -0.557251
9.766  -3.374023  -0.603638
0  2.045898  -0.579224
-9.766  3.935547  -0.527954
-19.531  3.925781  -0.48584
-29.297  3.905029  -0.445557
-39.063  3.864746  -0.366211
-48.828  3.843994  -0.328369
-58.594  3.827515  -0.290527
-68.359  3.811035  -0.254517
-78.125  3.796997  -0.218506
-87.891  3.770752  -0.148315
-97.656  3.759766  -0.113525
-107.422  3.748779  -0.080566
-117.188  3.739624  -0.047607
-126.953  3.731079  -0.015259
-136.719  3.71582  0.048828
-146.484  3.710938  0.080566
-156.25  3.704224  0.111084
-166.016  3.69873  0.141602
-175.781  3.695068  0.171509
-185.547  3.687134  0.230713
-195.313  3.684692  0.26001
-205.078  3.68103  0.287476
-214.844  3.679199  0.316772
-224.609  3.676758  0.344849
-234.375  3.675537  0.372314
-244.141  3.673096  0.427856
-253.906  3.673706  0.455322
-263.672  3.671875  0.480957
-273.438  3.671265  0.507812
-283.203  3.672485  0.534058
-292.969  3.673706  0.586548
-302.734  3.674316  0.611572
-312.5  3.674927  0.636597
-322.266  3.676147  0.661621
-332.031  2.030029  0.67688
-341.797  -3.654175  0.584106
-351.563  -3.637695  0.543823
-361.328  -3.618164  0.504761
-371.094  -3.598022  0.466919
-380.859  -3.580322  0.429688
-390.625  -3.546143  0.358887
-400.391  -3.533325  0.323486
-410.156  -3.518677  0.290527
-419.922  -3.50769  0.255737
-429.688  -3.496704  0.223389
-439.453  -3.485718  0.19104
-449.219  -3.469238  0.127563
-458.984  -3.460693  0.098267
-468.75  -3.45459  0.066528
-478.516  -3.447876  0.036621
-488.281  -3.442993  0.006104
-498.047  -3.436279  -0.05188
-507.813  -3.435669  -0.080566
-517.578  -3.431396  -0.108032
-527.344  -3.429565  -0.137329
-537.109  -3.426514  -0.164185
-546.875  -3.421021  -0.219116
-556.641  -3.4198  -0.246582
-566.406  -3.416138  -0.271606
-576.172  -3.415527  -0.298462
-585.938  -3.413086  -0.324097
-595.703  -3.411255  -0.375366
-605.469  -3.410034  -0.401611
-615.234  -3.407593  -0.425415
-625  -3.406982  -0.45105
-634.766  -3.404541  -0.474243
-644.531  -3.400879  -0.523071
-654.297  -3.397217  -0.546265
-664.063  -3.393555  -0.570679
-673.828  -3.383179  -0.593262
-683.594  -1.175537  -0.601196
-693.359  3.933105  -0.546875
-703.125  3.915405  -0.462646
-712.891  3.893433  -0.422974
-722.656  3.872681  -0.38269
-732.422  3.852539  -0.344849
-742.188  3.835449  -0.307007
-751.953  3.80249  -0.233765
-761.719  3.789673  -0.198364
-771.484  3.775635  -0.163574
-781.25  3.764038  -0.129395
-791.016  3.753662  -0.095825
-800.781  3.734131  -0.029907
-810.547  3.726807  0.003052
-820.313  3.719482  0.0354
-830.078  3.711548  0.065918
-839.844  3.706055  0.097656
-849.609  3.695679  0.158081
-859.375  3.692017  0.187988
-869.141  3.688354  0.217285
-878.906  3.685913  0.247192
-888.672  3.682251  0.275879
-898.438  3.677979  0.332642
-908.203  3.676147  0.361328
-917.969  3.673706  0.387573
-927.734  3.673706  0.415649
-937.5  3.672485  0.443115
-947.266  3.671875  0.46936
-957.031  3.673096  0.523071
-966.797  3.672485  0.548706
-976.563  3.673096  0.57373
-986.328  3.674316  0.599976
-996.094  3.674927  0.626221
-1.006  3.676147  0.675659
-1.016  -2.033081  0.650024
-1.025  -3.659668  0.601807
-1.035  -3.64624  0.562744
-1.045  -3.627319  0.523071
-1.055  -3.588257  0.446167
-1.064  -3.569946  0.410156
-1.074  -3.553467  0.374146
-1.084  -3.538208  0.339966
-1.094  -3.52478  0.304565
-1.104  -3.500366  0.238647
-1.113  -3.490601  0.205078
-1.123  -3.480225  0.17395
-1.133  -3.47229  0.141602
-1.143  -3.463745  0.110474
-1.152  -3.450928  0.050049
-1.162  -3.444824  0.020142
-1.172  -3.440552  -0.010376
-1.182  -3.436279  -0.039062
-1.191  -3.4375  -0.067749
-1.201  -3.433838  -0.096436
-1.211  -3.428345  -0.152588
-1.221  -3.425293  -0.179443
-1.23  -3.421021  -0.205688
-1.24  -3.421021  -0.233765
-1.25  -3.417358  -0.26001
-1.26  -3.414307  -0.31311
-1.27  -3.413696  -0.339355
-1.279  -3.411255  -0.36377
-1.289  -3.411255  -0.390015
-1.299  -3.408203  -0.414429
-1.309  -3.405762  -0.463867
-1.318  -3.404541  -0.488892
-1.328  -3.401489  -0.512695
-1.338  -3.398438  -0.535889
-1.348  -3.395386  -0.560303
-1.357  -3.364258  -0.606079
-1.367  2.755127  -0.571899
-1.377  3.936157  -0.524292
-1.387  3.922729  -0.482178
-1.396  3.902588  -0.441895
-1.406  3.862305  -0.362549
-1.416  3.842773  -0.324097
-1.426  3.825073  -0.287476
-1.436  3.809814  -0.250854
-1.445  3.794556  -0.214844
-1.455  3.781128  -0.179443
-1.465  3.757935  -0.111084
-1.475  3.748169  -0.077515
-1.484  3.739014  -0.044556
-1.494  3.730469  -0.012207
-1.504  3.722534  0.020142
-1.514  3.709106  0.082397
-1.523  3.703613  0.114136
-1.533  3.69812  0.144653
-1.543  3.694458  0.174561
-1.553  3.690186  0.204468
-1.563  3.684082  0.262451
-1.572  3.68103  0.291138
-1.582  3.677979  0.319214
-1.592  3.677979  0.3479
-1.602  3.675537  0.375366
-1.611  3.673706  0.430908
-1.621  3.671875  0.456543
-1.631  3.672485  0.484619
-1.641  3.671875  0.510254
-1.65  3.673096  0.537109
-1.66  3.673096  0.588989
-1.67  3.674927  0.614014
-1.68  3.675537  0.639038
-1.689  3.675537  0.663452
-1.699  1.338501  0.673218
-1.709  -3.658447  0.620728
-1.719  -3.636475  0.539551
-1.729  -3.616333  0.501709
-1.738  -3.596802  0.463257
-1.748  -3.578491  0.426025
-1.758  -3.560791  0.390015
-1.768  -3.530884  0.320435
-1.777  -3.518677  0.286255
-1.787  -3.50647  0.252686
-1.797  -3.494873  0.220337
-1.807  -3.485718  0.187378
-1.816  -3.468628  0.123901
-1.826  -3.460083  0.094604
-1.836  -3.453979  0.063477
-1.846  -3.447876  0.033569
-1.855  -3.442383  0.003662
-1.865  -3.4375  -0.054932
-1.875  -3.435059  -0.082397
-1.885  -3.432007  -0.112305
-1.895  -3.428345  -0.13916
-1.904  -3.426514  -0.167236
-1.914  -3.421021  -0.221558
-1.924  -3.419189  -0.248413
-1.934  -3.416138  -0.274658
-1.943  -3.416138  -0.302124
-1.953  -3.413696  -0.327148
-1.963  -3.413086  -0.353394
-1.973  -3.408203  -0.403442
-1.982  -3.408203  -0.429077
-1.992  -3.406372  -0.453491
-2.002  -3.403931  -0.477295
-2.012  -3.40332  -0.501709
-2.021  -3.396606  -0.548706
-2.031  -3.392334  -0.57312
-2.041  -3.382568  -0.595703
-2.051  -0.419312  -0.596924
-2.061  3.934326  -0.542603
-2.07  3.912964  -0.458984
-2.08  3.890991  -0.418701
-2.09  3.870239  -0.379028
-2.1  3.850708  -0.341187
-2.109  3.833008  -0.302734
-2.119  3.80127  -0.230103
-2.129  3.787842  -0.194092
-2.139  3.773804  -0.159912
-2.148  3.762817  -0.125122
-2.158  3.752441  -0.092163
-2.168  3.742676  -0.058594
-2.178  3.726807  0.006714
-2.188  3.718262  0.038452
-2.197  3.710938  0.06897
-2.207  3.706055  0.101318
-2.217  3.700562  0.131226
-2.227  3.692017  0.19165
-2.236  3.688354  0.220947
-2.246  3.684082  0.249634
-2.256  3.681641  0.278931
-2.266  3.679199  0.307007
-2.275  3.674927  0.36377
-2.285  3.674927  0.391846
-2.295  3.673096  0.418701
-2.305  3.672485  0.445557
-2.314  3.673096  0.473022
-2.324  3.672485  0.526123
-2.334  3.672485  0.551147
-2.344  3.673706  0.578003
-2.354  3.673096  0.602417
-2.363  3.674927  0.628662
-2.373  3.666992  0.678101
-2.383  -2.858887  0.640869
-2.393  -3.657837  0.597534
-2.402  -3.643799  0.557251
-2.412  -3.624878  0.517578
-2.422  -3.604126  0.479736
-2.432  -3.568115  0.405273
-2.441  -3.552246  0.369263
-2.451  -3.536987  0.335083
-2.461  -3.52356  0.300903
-2.471  -3.511353  0.267334
-2.48  -3.48938  0.201416
-2.49  -3.480225  0.169067
-2.5  -3.47168  0.13855
-2.51  -3.463745  0.107422
-2.52  -3.456421  0.076904
-2.529  -3.444824  0.015869
-2.539  -3.439331  -0.012817
-2.549  -3.43689  -0.042725
-2.559  -3.43689  -0.070801
-2.568  -3.432617  -0.099487
-2.578  -3.427734  -0.15564
-2.588  -3.424683  -0.183105
-2.598  -3.421631  -0.209961
-2.607  -3.42041  -0.238037
-2.617  -3.417358  -0.263672
