V(output)	I(Out)
4.958398e+000	3.279364e-001
4.958477e+000	3.275084e-001
4.958556e+000	3.270815e-001
4.958634e+000	3.266557e-001
4.958712e+000	3.262311e-001
4.958790e+000	3.258075e-001
4.958868e+000	3.253850e-001
4.958945e+000	3.249637e-001
4.959023e+000	3.245434e-001
4.959100e+000	3.241242e-001
4.959177e+000	3.237061e-001
4.959253e+000	3.232890e-001
4.959330e+000	3.228731e-001
4.959406e+000	3.224581e-001
4.959483e+000	3.220443e-001
4.959558e+000	3.216316e-001
4.959634e+000	3.212198e-001
4.959710e+000	3.208092e-001
4.959785e+000	3.203996e-001
4.959860e+000	3.199910e-001
4.959935e+000	3.195835e-001
4.960010e+000	3.191770e-001
4.960085e+000	3.187715e-001
4.960159e+000	3.183671e-001
4.960233e+000	3.179637e-001
4.960308e+000	3.175613e-001
4.960381e+000	3.171599e-001
4.960455e+000	3.167596e-001
4.960528e+000	3.163602e-001
4.960602e+000	3.159619e-001
4.960675e+000	3.155645e-001
4.960748e+000	3.151682e-001
4.960821e+000	3.147729e-001
4.960893e+000	3.143785e-001
4.960966e+000	3.139851e-001
4.961038e+000	3.135928e-001
4.961110e+000	3.132014e-001
4.961182e+000	3.128109e-001
4.961253e+000	3.124215e-001
4.961325e+000	3.120330e-001
4.961396e+000	3.116455e-001
4.961467e+000	3.112589e-001
4.961538e+000	3.108733e-001
4.961609e+000	3.104887e-001
4.961679e+000	3.101050e-001
4.961750e+000	3.097222e-001
4.961820e+000	3.093404e-001
4.961890e+000	3.089595e-001
4.961960e+000	3.085796e-001
4.962030e+000	3.082006e-001
4.962100e+000	3.078225e-001
4.962169e+000	3.074454e-001
4.962238e+000	3.070692e-001
4.962307e+000	3.066939e-001
4.962376e+000	3.063195e-001
4.962445e+000	3.059460e-001
4.962513e+000	3.055735e-001
4.962582e+000	3.052018e-001
4.962650e+000	3.048311e-001
4.962718e+000	3.044612e-001
4.962786e+000	3.040923e-001
4.962853e+000	3.037242e-001
4.962921e+000	3.033570e-001
4.962988e+000	3.029907e-001
4.963056e+000	3.026253e-001
4.963123e+000	3.022608e-001
4.963190e+000	3.018972e-001
4.963256e+000	3.015344e-001
4.963323e+000	3.011725e-001
4.963389e+000	3.008115e-001
4.963456e+000	3.004513e-001
4.963522e+000	3.000920e-001
4.963588e+000	2.997335e-001
4.963654e+000	2.993760e-001
4.963719e+000	2.990192e-001
4.963785e+000	2.986633e-001
4.963850e+000	2.983083e-001
4.963915e+000	2.979541e-001
4.963980e+000	2.976007e-001
4.964045e+000	2.972482e-001
4.964110e+000	2.968965e-001
4.964174e+000	2.965457e-001
4.964239e+000	2.961956e-001
4.964303e+000	2.958464e-001
4.964367e+000	2.954980e-001
4.964431e+000	2.951505e-001
4.964495e+000	2.948037e-001
4.964559e+000	2.944578e-001
4.964622e+000	2.941127e-001
4.964685e+000	2.937683e-001
4.964748e+000	2.934248e-001
4.964811e+000	2.930821e-001
4.964874e+000	2.927402e-001
4.964937e+000	2.923991e-001
4.965000e+000	2.920588e-001
4.965062e+000	2.917193e-001
4.965125e+000	2.913806e-001
4.965187e+000	2.910426e-001
4.965249e+000	2.907054e-001
4.965311e+000	2.903691e-001
4.965373e+000	2.900334e-001
4.965434e+000	2.896986e-001
4.965496e+000	2.893645e-001
4.965557e+000	2.890312e-001
4.965618e+000	2.886987e-001
4.965679e+000	2.883670e-001
4.965740e+000	2.880360e-001
4.965801e+000	2.877057e-001
4.965861e+000	2.873762e-001
4.965922e+000	2.870475e-001
4.965982e+000	2.867195e-001
4.966043e+000	2.863923e-001
4.966103e+000	2.860658e-001
4.966163e+000	2.857401e-001
4.966222e+000	2.854151e-001
4.966282e+000	2.850908e-001
4.966341e+000	2.847673e-001
4.966401e+000	2.844445e-001
4.966460e+000	2.841224e-001
4.966519e+000	2.838011e-001
4.966578e+000	2.834805e-001
4.966637e+000	2.831606e-001
4.966696e+000	2.828414e-001
4.966754e+000	2.825230e-001
4.966813e+000	2.822053e-001
4.966871e+000	2.818883e-001
4.966929e+000	2.815720e-001
4.966988e+000	2.812564e-001
4.967045e+000	2.809415e-001
4.967103e+000	2.806273e-001
4.967161e+000	2.803138e-001
4.967218e+000	2.800010e-001
4.967276e+000	2.796890e-001
4.967333e+000	2.793776e-001
4.967391e+000	2.790669e-001
4.967447e+000	2.787569e-001
4.967505e+000	2.784475e-001
4.967561e+000	2.781389e-001
4.967618e+000	2.778310e-001
4.967674e+000	2.775237e-001
4.967731e+000	2.772171e-001
4.967787e+000	2.769112e-001
4.967843e+000	2.766060e-001
4.967899e+000	2.763014e-001
4.970096e+000	2.643609e-001
4.972152e+000	2.531855e-001
4.974068e+000	2.427752e-001
4.975842e+000	2.331299e-001
4.977476e+000	2.242496e-001
4.978969e+000	2.161345e-001
4.980322e+000	2.087844e-001
4.982667e+000	1.960399e-001
4.984548e+000	1.858182e-001
4.986290e+000	1.763520e-001
4.987892e+000	1.676414e-001
4.989356e+000	1.596862e-001
4.990681e+000	1.524867e-001
4.991867e+000	1.460426e-001
4.992913e+000	1.403541e-001
4.994382e+000	1.323736e-001
4.995734e+000	1.250209e-001
4.996972e+000	1.182958e-001
4.998094e+000	1.121984e-001
4.999100e+000	1.067287e-001
4.999991e+000	1.018868e-001
5.000766e+000	9.767248e-002
5.001797e+000	9.207423e-002
5.002745e+000	8.691881e-002
5.003612e+000	8.220621e-002
5.004398e+000	7.793644e-002
5.005102e+000	7.410950e-002
5.005725e+000	7.072539e-002
5.006266e+000	6.778410e-002
5.006984e+000	6.388139e-002
5.007645e+000	6.028837e-002
5.008249e+000	5.700504e-002
5.008797e+000	5.403141e-002
5.009287e+000	5.136747e-002
5.009720e+000	4.901323e-002
5.010096e+000	4.696868e-002
5.010593e+000	4.426894e-002
5.011050e+000	4.178319e-002
5.011468e+000	3.951141e-002
5.011846e+000	3.745362e-002
5.012186e+000	3.560980e-002
5.012486e+000	3.397996e-002
5.012746e+000	3.256411e-002
5.013090e+000	3.069734e-002
5.013406e+000	2.897826e-002
5.013695e+000	2.740685e-002
5.013957e+000	2.598312e-002
5.014192e+000	2.470707e-002
5.014399e+000	2.357870e-002
5.014580e+000	2.259801e-002
5.014819e+000	2.129676e-002
5.015040e+000	2.009877e-002
5.015241e+000	1.900405e-002
5.015424e+000	1.801260e-002
5.015587e+000	1.712442e-002
5.015732e+000	1.633950e-002
5.015857e+000	1.565786e-002
5.015965e+000	1.506954e-002
5.016067e+000	1.451520e-002
5.016163e+000	1.399484e-002
5.016253e+000	1.350845e-002
5.016336e+000	1.305604e-002
5.016413e+000	1.263760e-002
5.016483e+000	1.225314e-002
5.016486e+000	1.224147e-002
5.016487e+000	1.223533e-002
