TIME  IN1  IN2  OUT1
732.422  0.494995  4.161987  0.5
722.656  0.493774  4.152832  0.5
712.891  0.493774  4.14978  0.5
703.125  0.492554  4.145508  0.5
693.359  0.491943  4.141235  0.5
683.594  0.491333  4.137573  0.5
673.828  0.490723  4.129028  0.5
664.063  0.490112  4.125366  0.5
654.297  0.490112  4.121094  0.5
644.531  0.490112  4.116821  0.5
634.766  0.489502  4.112549  0.5
625  0.488281  4.104614  0.5
615.234  0.488281  4.100342  0.5
605.469  0.487671  4.096069  0.5
595.703  0.487671  4.091797  0.5
585.938  0.487061  4.088135  0.5
576.172  0.48584  4.07959  0.5
566.406  0.48645  4.075317  0.5
556.641  0.48645  4.071655  0.5
546.875  0.48645  4.068604  0.5
537.109  0.48584  4.06311  0.5
527.344  0.48584  4.058838  0.5
517.578  0.485229  4.050903  0.5
507.813  0.48584  4.047241  0.5
498.047  -0.311279  4.044189  -0.5
488.281  -0.568848  4.050293  -0.5
478.516  -0.566406  4.054565  -0.5
468.75  -0.559082  4.0625  -0.5
458.984  -0.55542  4.067993  -0.5
449.219  -0.551147  4.072266  -0.5
439.453  -0.547485  4.077148  -0.5
429.688  -0.544434  4.081421  -0.5
419.922  -0.53772  4.090576  -0.5
410.156  -0.535278  4.095459  -0.5
400.391  -0.532227  4.099731  -0.5
390.625  -0.530396  4.104004  -0.5
380.859  -0.528564  4.108276  -0.5
371.094  -0.523682  4.116821  -0.5
361.328  -0.521851  4.121704  -0.5
351.563  -0.52063  4.125366  -0.5
341.797  -0.518799  4.130249  -0.5
332.031  -0.516357  4.134521  -0.5
322.266  -0.513916  4.143066  -0.5
312.5  -0.513306  4.147339  -0.5
302.734  -0.512085  4.151611  -0.5
292.969  -0.510864  4.155884  -0.5
283.203  -0.509644  4.160156  -0.5
273.438  -0.507812  4.163818  -0.5
263.672  -0.506592  4.172363  -0.5
253.906  -0.505981  4.176636  -0.5
244.141  -0.505371  4.180908  -0.5
234.375  -0.50415  4.185181  -0.5
224.609  -0.50354  4.189453  -0.5
214.844  -0.502319  4.197388  -0.5
205.078  -0.502319  4.202271  -0.5
195.313  -0.501099  4.205933  -0.5
185.547  -0.501099  4.210205  -0.5
175.781  -0.500488  4.214478  -0.5
