time	V(tr)	V(vc)
3.670728301483906e-002	-3.000000e+000	2.953952e-001
3.690454863983906e-002	-3.000000e+000	2.093140e-001
3.710181426483906e-002	-3.000000e+000	1.240574e-001
3.729907988983906e-002	-3.000000e+000	3.962544e-002
3.749634551483905e-002	-3.000000e+000	-4.398195e-002
3.769361113983905e-002	-3.000000e+000	-1.267647e-001
3.789087676483905e-002	-3.000000e+000	-2.087229e-001
3.808814238983905e-002	-3.000000e+000	-2.898566e-001
3.835983633414775e-002	-3.000000e+000	-4.002708e-001
3.863153027845646e-002	-3.000000e+000	-5.092486e-001
3.890322422276517e-002	-3.000000e+000	-6.167898e-001
3.917491816707388e-002	-3.000000e+000	-7.228946e-001
3.944661211138258e-002	-3.000000e+000	-8.275628e-001
3.971830605569129e-002	-3.000000e+000	-9.307946e-001
3.999000000000000e-002	-3.000000e+000	-1.032590e+000
3.999449054969436e-002	-3.056702e-001	-1.034261e+000
3.999554925987794e-002	3.295559e-001	-1.034655e+000
3.999611585611020e-002	6.695136e-001	-1.034865e+000
3.999643022038346e-002	8.581322e-001	-1.034972e+000
3.999684289496541e-002	1.105737e+000	-1.035071e+000
3.999721834737272e-002	1.331008e+000	-1.035090e+000
3.999758856739295e-002	1.553140e+000	-1.035025e+000
3.999793121677878e-002	1.758730e+000	-1.034910e+000
3.999794192457208e-002	1.765155e+000	-1.034905e+000
3.999813466485161e-002	1.880799e+000	-1.034814e+000
3.999832740513113e-002	1.996443e+000	-1.034722e+000
3.999852014541066e-002	2.112087e+000	-1.034631e+000
3.999871288569018e-002	2.227731e+000	-1.034540e+000
3.999890562596971e-002	2.343375e+000	-1.034448e+000
3.999909836624923e-002	2.459020e+000	-1.034357e+000
3.999929110652876e-002	2.574664e+000	-1.034265e+000
4.000000000000000e-002	3.000000e+000	-1.033929e+000
4.000445994491619e-002	3.000000e+000	-1.031808e+000
4.000891988983239e-002	3.000000e+000	-1.029688e+000
4.001337983474858e-002	3.000000e+000	-1.027569e+000
4.001783977966478e-002	3.000000e+000	-1.025450e+000
4.002229972458098e-002	3.000000e+000	-1.023332e+000
4.002675966949718e-002	3.000000e+000	-1.021214e+000
4.003121961441337e-002	3.000000e+000	-1.019096e+000
4.035214442407279e-002	3.000000e+000	-8.680564e-001
4.067306923373221e-002	3.000000e+000	-7.193232e-001
4.099399404339164e-002	3.000000e+000	-5.728969e-001
4.131491885305105e-002	3.000000e+000	-4.287774e-001
4.163584366271048e-002	3.000000e+000	-2.869647e-001
4.195676847236990e-002	3.000000e+000	-1.474589e-001
4.227769328202932e-002	3.000000e+000	-1.025991e-002
4.237632609452932e-002	3.000000e+000	3.149159e-002
4.257359171952932e-002	3.000000e+000	1.143793e-001
4.264404372845789e-002	3.000000e+000	1.437836e-001
4.271449573738646e-002	3.000000e+000	1.730854e-001
4.278494774631503e-002	3.000000e+000	2.022846e-001
4.285539975524360e-002	3.000000e+000	2.313813e-001
4.292585176417217e-002	3.000000e+000	2.603754e-001
4.299630377310074e-002	3.000000e+000	2.892671e-001
4.306675578202932e-002	3.000000e+000	3.180561e-001
4.316538859452931e-002	3.000000e+000	3.581912e-001
4.326402140702931e-002	3.000000e+000	3.981249e-001
4.336265421952931e-002	3.000000e+000	4.378441e-001
4.346128703202931e-002	3.000000e+000	4.772859e-001
4.355991984452931e-002	3.000000e+000	5.161743e-001
4.365855265702931e-002	3.000000e+000	5.534688e-001
4.375718546952931e-002	3.000000e+000	5.863604e-001
4.385581828202931e-002	3.000000e+000	6.106359e-001
4.395445109452931e-002	3.000000e+000	6.241490e-001
4.405308390702931e-002	3.000000e+000	6.293648e-001
4.415171671952931e-002	3.000000e+000	6.307162e-001
4.425034953202930e-002	3.000000e+000	6.309490e-001
4.434898234452930e-002	3.000000e+000	6.309428e-001
4.444761515702930e-002	3.000000e+000	6.309202e-001
4.454624796952930e-002	3.000000e+000	6.309159e-001
