t,u
-2.3468E-03,2.200E+00
-2.3463E-03,1.800E+00
-2.3458E-03,1.800E+00
-2.3453E-03,1.800E+00
-2.3448E-03,2.200E+00
-2.3443E-03,1.800E+00
-2.3438E-03,2.200E+00
-2.3432E-03,1.800E+00
-2.3427E-03,1.800E+00
-2.3422E-03,2.200E+00
-2.3417E-03,1.800E+00
-2.3412E-03,2.200E+00
-2.3407E-03,2.200E+00
-2.3402E-03,2.200E+00
-2.3397E-03,1.800E+00
-2.3392E-03,1.800E+00
-2.3387E-03,1.800E+00
-2.3382E-03,1.800E+00
-2.3377E-03,1.800E+00
-2.3372E-03,2.200E+00
-2.3367E-03,2.200E+00
-2.3362E-03,2.200E+00
-2.3357E-03,1.800E+00
-2.3352E-03,2.200E+00
-2.3347E-03,2.200E+00
-2.3342E-03,1.800E+00
-2.3337E-03,2.200E+00
-2.3332E-03,2.200E+00
-2.3327E-03,2.200E+00
-2.3322E-03,2.200E+00
-2.3317E-03,1.800E+00
-2.3311E-03,2.200E+00
-2.3306E-03,1.800E+00
-2.3301E-03,1.800E+00
-2.3296E-03,1.800E+00
-2.3291E-03,2.200E+00
-2.3286E-03,1.800E+00
-2.3281E-03,1.800E+00
-2.3276E-03,1.800E+00
-2.3271E-03,2.200E+00
-2.3266E-03,1.800E+00
-2.3261E-03,2.200E+00
-2.3256E-03,2.200E+00
-2.3251E-03,2.200E+00
-2.3246E-03,2.200E+00
-2.3241E-03,2.200E+00
-2.3236E-03,2.200E+00
-2.3231E-03,1.800E+00
-2.3226E-03,2.200E+00
-2.3221E-03,2.200E+00
-2.3216E-03,2.200E+00
-2.3211E-03,2.200E+00
-2.3206E-03,1.800E+00
-2.3201E-03,1.800E+00
-2.3196E-03,2.200E+00
-2.3191E-03,1.800E+00
-2.3185E-03,1.800E+00
-2.3180E-03,1.800E+00
-2.3175E-03,1.800E+00
-2.3170E-03,1.800E+00
-2.3165E-03,2.200E+00
-2.3160E-03,2.200E+00
-2.3155E-03,1.800E+00
-2.3150E-03,2.200E+00
-2.3145E-03,2.200E+00
-2.3140E-03,2.200E+00
-2.3135E-03,1.800E+00
-2.3130E-03,1.800E+00
-2.3125E-03,2.200E+00
-2.3120E-03,2.200E+00
-2.3115E-03,2.200E+00
-2.3110E-03,1.800E+00
-2.3105E-03,2.200E+00
-2.3100E-03,1.800E+00
-2.3095E-03,1.800E+00
-2.3090E-03,1.800E+00
-2.3085E-03,1.800E+00
-2.3080E-03,1.800E+00
-2.3075E-03,2.200E+00
-2.3070E-03,1.800E+00
-2.3065E-03,1.800E+00
-2.3059E-03,2.200E+00
-2.3054E-03,1.800E+00
-2.3049E-03,1.800E+00
-2.3044E-03,1.800E+00
-2.3039E-03,1.800E+00
-2.3034E-03,1.800E+00
-2.3029E-03,2.200E+00
-2.3024E-03,2.200E+00
-2.3019E-03,2.200E+00
-2.3014E-03,2.200E+00
-2.3009E-03,2.200E+00
-2.3004E-03,2.200E+00
-2.2999E-03,2.200E+00
-2.2994E-03,2.200E+00
-2.2989E-03,2.200E+00
-2.2984E-03,1.800E+00
-2.2979E-03,2.200E+00
-2.2974E-03,2.200E+00
-2.2969E-03,1.800E+00
-2.2964E-03,1.800E+00
-2.2959E-03,2.200E+00
-2.2954E-03,2.200E+00
-2.2949E-03,2.200E+00
-2.2944E-03,1.800E+00
-2.2939E-03,2.200E+00
-2.2933E-03,1.800E+00
-2.2928E-03,1.800E+00
-2.2923E-03,1.800E+00
-2.2918E-03,2.200E+00
-2.2913E-03,2.200E+00
-2.2908E-03,2.200E+00
-2.2903E-03,2.200E+00
-2.2898E-03,1.800E+00
-2.2893E-03,1.800E+00
-2.2888E-03,2.200E+00
-2.2883E-03,2.200E+00
-2.2878E-03,2.200E+00
-2.2873E-03,1.800E+00
-2.2868E-03,1.800E+00
-2.2863E-03,2.200E+00
-2.2858E-03,2.200E+00
-2.2853E-03,2.200E+00
-2.2848E-03,2.200E+00
-2.2843E-03,2.200E+00
-2.2838E-03,1.800E+00
-2.2833E-03,2.200E+00
-2.2828E-03,2.200E+00
-2.2823E-03,1.800E+00
-2.2818E-03,2.200E+00
-2.2813E-03,1.800E+00
-2.2807E-03,1.800E+00
-2.2802E-03,1.800E+00
-2.2797E-03,1.800E+00
-2.2792E-03,2.200E+00
-2.2787E-03,1.800E+00
-2.2782E-03,2.200E+00
-2.2777E-03,1.800E+00
-2.2772E-03,1.800E+00
-2.2767E-03,1.800E+00
-2.2762E-03,2.200E+00
-2.2757E-03,2.200E+00
-2.2752E-03,2.200E+00
-2.2747E-03,2.200E+00
-2.2742E-03,1.800E+00
-2.2737E-03,2.200E+00
-2.2732E-03,2.200E+00
-2.2727E-03,1.800E+00
-2.2722E-03,1.800E+00
-2.2717E-03,2.200E+00
-2.2712E-03,1.800E+00
-2.2707E-03,2.200E+00
-2.2702E-03,1.800E+00
-2.2697E-03,1.800E+00
-2.2692E-03,1.800E+00
-2.2686E-03,1.800E+00
-2.2681E-03,1.800E+00
-2.2676E-03,2.200E+00
-2.2671E-03,2.200E+00
-2.2666E-03,1.800E+00
-2.2661E-03,2.200E+00
-2.2656E-03,2.200E+00
-2.2651E-03,1.800E+00
-2.2646E-03,1.800E+00
-2.2641E-03,2.200E+00
-2.2636E-03,2.200E+00
-2.2631E-03,2.200E+00
-2.2626E-03,2.200E+00
-2.2621E-03,1.800E+00
-2.2616E-03,1.800E+00
-2.2611E-03,2.200E+00
-2.2606E-03,1.800E+00
-2.2601E-03,1.800E+00
-2.2596E-03,1.800E+00
-2.2591E-03,2.200E+00
-2.2586E-03,1.800E+00
-2.2581E-03,1.800E+00
-2.2576E-03,2.200E+00
