time	V(vc)	V(vout)
2.400285848669582e-003	-1.449548e+000	8.484700e+000
2.401591923376936e-003	-1.435377e+000	8.482639e+000
2.402897998084290e-003	-1.421223e+000	8.476804e+000
2.423203377500612e-003	-1.204019e+000	8.476797e+000
2.443508756916934e-003	-9.913342e-001	8.476786e+000
2.463814136333256e-003	-7.831696e-001	8.476771e+000
2.484119515749578e-003	-5.795250e-001	8.476752e+000
2.504424895165901e-003	-3.804002e-001	8.476728e+000
2.524730274582222e-003	-1.857953e-001	8.476700e+000
2.545035653998544e-003	4.289636e-003	8.476667e+000
2.553434091498545e-003	8.178297e-002	8.476657e+000
2.576829738819975e-003	2.937822e-001	8.482632e+000
2.600225386141404e-003	5.006237e-001	8.483952e+000
2.623621033462834e-003	7.023075e-001	8.480615e+000
2.647016680784263e-003	8.988336e-001	8.472624e+000
2.670412328105693e-003	1.090202e+000	8.459976e+000
2.693807975427122e-003	1.276413e+000	8.442673e+000
2.717203622748552e-003	1.457466e+000	8.420713e+000
2.718400631297609e-003	1.466606e+000	8.429857e+000
2.719597639846666e-003	1.475718e+000	8.431753e+000
2.720794648395724e-003	1.484803e+000	8.426400e+000
2.721991656944781e-003	1.493861e+000	8.413799e+000
2.723188665493839e-003	1.502891e+000	8.393949e+000
2.724385674042896e-003	1.511893e+000	8.366852e+000
2.725582682591953e-003	1.520868e+000	8.332506e+000
2.725814996277750e-003	1.522594e+000	8.287067e+000
2.725918451122574e-003	1.523357e+000	8.237548e+000
2.726043095608047e-003	1.524264e+000	8.137716e+000
2.726186995524033e-003	1.525289e+000	7.953441e+000
2.726342649376855e-003	1.526351e+000	7.621297e+000
2.726530662159540e-003	1.527534e+000	6.950374e+000
2.726707112754367e-003	1.528504e+000	5.966702e+000
2.726836625441447e-003	1.529085e+000	4.955699e+000
2.726923521609745e-003	1.529376e+000	4.114203e+000
2.727027483951807e-003	1.529601e+000	3.001047e+000
2.727133550900126e-003	1.529701e+000	1.834616e+000
2.727361566176637e-003	1.529418e+000	-6.851571e-001
2.727593973689991e-003	1.528346e+000	-3.260461e+000
2.727967518639313e-003	1.525525e+000	-6.546668e+000
2.728390267866353e-003	1.521422e+000	-8.369570e+000
2.728453142567676e-003	1.520752e+000	-8.438034e+000
2.729758626436936e-003	1.506502e+000	-8.455008e+000
2.731064110306196e-003	1.492268e+000	-8.468171e+000
2.732369594175456e-003	1.478052e+000	-8.477522e+000
