t,u_ref,u_fb,u_mult,u_e
1.7857857857857857,-1.0,-1.0,1.0,0.12000000000000004
1.7897897897897899,-1.0,-1.0,1.0,0.12000000000000004
1.7937937937937938,-1.0,-1.0,1.0,0.12000000000000004
1.7977977977977977,-1.0,-1.0,1.0,0.12000000000000004
1.8018018018018018,1.0,-1.0,-1.0,0.12000000000000004
1.8058058058058057,1.0,-1.0,-1.0,0.12000000000000004
1.8098098098098099,1.0,-1.0,-1.0,0.12000000000000006
1.8138138138138138,1.0,-1.0,-1.0,0.14000000000000004
1.8178178178178177,1.0,-1.0,-1.0,0.16000000000000006
1.8218218218218218,1.0,1.0,1.0,0.18000000000000008
1.8258258258258258,1.0,1.0,1.0,0.20000000000000007
1.82982982982983,1.0,1.0,1.0,0.22000000000000008
1.8338338338338338,1.0,1.0,1.0,0.22000000000000008
1.8378378378378377,1.0,1.0,1.0,0.22000000000000008
1.8418418418418419,1.0,1.0,1.0,0.22000000000000003
1.8458458458458458,1.0,1.0,1.0,0.22000000000000003
1.84984984984985,1.0,1.0,1.0,0.22000000000000003
1.8538538538538538,-1.0,1.0,-1.0,0.24
1.8578578578578577,-1.0,1.0,-1.0,0.24
1.8618618618618619,-1.0,1.0,-1.0,0.26
1.8658658658658658,-1.0,-1.0,1.0,0.28
1.86986986986987,-1.0,-1.0,1.0,0.30000000000000004
1.8738738738738738,-1.0,-1.0,1.0,0.32000000000000006
1.877877877877878,-1.0,-1.0,1.0,0.32000000000000006
1.8818818818818819,-1.0,-1.0,1.0,0.32000000000000006
1.8858858858858858,-1.0,-1.0,1.0,0.32000000000000006
1.88988988988989,-1.0,-1.0,1.0,0.32000000000000006
1.8938938938938938,-1.0,-1.0,1.0,0.32000000000000006
1.897897897897898,-1.0,-1.0,1.0,0.32
1.901901901901902,1.0,-1.0,-1.0,0.31999999999999995
1.9059059059059058,1.0,-1.0,-1.0,0.33999999999999997
1.90990990990991,1.0,1.0,1.0,0.36
1.9139139139139139,1.0,1.0,1.0,0.38
1.917917917917918,1.0,1.0,1.0,0.4
1.921921921921922,1.0,1.0,1.0,0.4
1.9259259259259258,1.0,1.0,1.0,0.4
1.92992992992993,1.0,1.0,1.0,0.4
1.9339339339339339,1.0,1.0,1.0,0.4
1.937937937937938,1.0,1.0,1.0,0.4
1.941941941941942,1.0,1.0,1.0,0.4
1.9459459459459458,1.0,1.0,1.0,0.39999999999999997
1.94994994994995,1.0,1.0,1.0,0.37999999999999995
1.9539539539539539,-1.0,1.0,-1.0,0.38
1.957957957957958,-1.0,-1.0,1.0,0.4
1.961961961961962,-1.0,-1.0,1.0,0.42
1.9659659659659658,-1.0,-1.0,1.0,0.43999999999999995
1.96996996996997,-1.0,-1.0,1.0,0.44
1.973973973973974,-1.0,-1.0,1.0,0.44
1.977977977977978,-1.0,-1.0,1.0,0.44
1.981981981981982,-1.0,-1.0,1.0,0.44
1.985985985985986,-1.0,-1.0,1.0,0.43999999999999995
1.98998998998999,-1.0,-1.0,1.0,0.43999999999999995
1.993993993993994,-1.0,-1.0,1.0,0.43999999999999995
1.997997997997998,-1.0,-1.0,1.0,0.41999999999999993
2.002002002002002,1.0,1.0,1.0,0.3999999999999999
2.006006006006006,1.0,1.0,1.0,0.41999999999999993
2.01001001001001,1.0,1.0,1.0,0.43999999999999995
2.014014014014014,1.0,1.0,1.0,0.43999999999999995
2.018018018018018,1.0,1.0,1.0,0.43999999999999995
2.022022022022022,1.0,1.0,1.0,0.43999999999999995
2.026026026026026,1.0,1.0,1.0,0.43999999999999995
2.03003003003003,1.0,1.0,1.0,0.43999999999999995
2.034034034034034,1.0,1.0,1.0,0.43999999999999995
2.038038038038038,1.0,1.0,1.0,0.43999999999999995
2.042042042042042,1.0,1.0,1.0,0.41999999999999993
2.046046046046046,1.0,-1.0,-1.0,0.3999999999999999
2.05005005005005,-1.0,-1.0,1.0,0.3799999999999999
2.054054054054054,-1.0,-1.0,1.0,0.37999999999999995
2.058058058058058,-1.0,-1.0,1.0,0.39999999999999997
2.062062062062062,-1.0,-1.0,1.0,0.3999999999999999
2.066066066066066,-1.0,-1.0,1.0,0.3999999999999999
2.07007007007007,-1.0,-1.0,1.0,0.3999999999999999
2.074074074074074,-1.0,-1.0,1.0,0.3999999999999999
2.078078078078078,-1.0,-1.0,1.0,0.39999999999999997
2.0820820820820822,-1.0,-1.0,1.0,0.39999999999999997
2.086086086086086,-1.0,-1.0,1.0,0.3999999999999999
2.09009009009009,-1.0,-1.0,1.0,0.3799999999999999
2.094094094094094,-1.0,1.0,-1.0,0.3599999999999999
2.098098098098098,-1.0,1.0,-1.0,0.3399999999999999
2.1021021021021022,1.0,1.0,1.0,0.31999999999999995
2.106106106106106,1.0,1.0,1.0,0.31999999999999995
2.11011011011011,1.0,1.0,1.0,0.31999999999999995
2.114114114114114,1.0,1.0,1.0,0.31999999999999995
2.118118118118118,1.0,1.0,1.0,0.31999999999999995
2.1221221221221223,1.0,1.0,1.0,0.31999999999999995
2.126126126126126,1.0,1.0,1.0,0.3199999999999999
2.13013013013013,1.0,1.0,1.0,0.3199999999999999
2.134134134134134,1.0,1.0,1.0,0.29999999999999993
2.138138138138138,1.0,-1.0,-1.0,0.2799999999999999
2.1421421421421423,1.0,-1.0,-1.0,0.2599999999999999
2.146146146146146,1.0,-1.0,-1.0,0.23999999999999988
2.15015015015015,-1.0,-1.0,1.0,0.23999999999999988
2.154154154154154,-1.0,-1.0,1.0,0.21999999999999992
2.158158158158158,-1.0,-1.0,1.0,0.21999999999999986
2.1621621621621623,-1.0,-1.0,1.0,0.21999999999999986
2.166166166166166,-1.0,-1.0,1.0,0.21999999999999992
2.17017017017017,-1.0,-1.0,1.0,0.21999999999999992
2.174174174174174,-1.0,-1.0,1.0,0.21999999999999992
2.178178178178178,-1.0,-1.0,1.0,0.1999999999999999
2.1821821821821823,-1.0,1.0,-1.0,0.17999999999999988
2.186186186186186,-1.0,1.0,-1.0,0.1599999999999999
2.19019019019019,-1.0,1.0,-1.0,0.13999999999999987
2.194194194194194,-1.0,1.0,-1.0,0.1199999999999999
2.1981981981981984,-1.0,1.0,-1.0,0.11999999999999993
2.2022022022022023,1.0,1.0,1.0,0.11999999999999993
2.206206206206206,1.0,1.0,1.0,0.11999999999999993
2.21021021021021,1.0,1.0,1.0,0.11999999999999993
2.214214214214214,1.0,1.0,1.0,0.11999999999999993
2.2182182182182184,1.0,1.0,1.0,0.11999999999999993
2.2222222222222223,1.0,1.0,1.0,0.11999999999999993
2.2262262262262262,1.0,1.0,1.0,0.09999999999999996
2.23023023023023,1.0,-1.0,-1.0,0.07999999999999997
2.234234234234234,1.0,-1.0,-1.0,0.05999999999999998
2.2382382382382384,1.0,-1.0,-1.0,0.03999999999999996
2.2422422422422423,1.0,-1.0,-1.0,0.03999999999999996
2.2462462462462462,1.0,-1.0,-1.0,0.03999999999999996
2.25025025025025,-1.0,-1.0,1.0,0.03999999999999995
2.254254254254254,-1.0,-1.0,1.0,0.01999999999999995
2.2582582582582584,-1.0,-1.0,1.0,0.019999999999999955
2.2622622622622623,-1.0,-1.0,1.0,0.019999999999999955
2.2662662662662663,-1.0,-1.0,1.0,0.01999999999999995
2.27027027027027,-1.0,-1.0,1.0,-5.204170427930421e-17
2.274274274274274,-1.0,1.0,-1.0,-0.020000000000000046
2.2782782782782784,-1.0,1.0,-1.0,-0.04000000000000005
2.2822822822822824,-1.0,1.0,-1.0,-0.06000000000000005
2.2862862862862863,-1.0,1.0,-1.0,-0.060000000000000046
2.29029029029029,-1.0,1.0,-1.0,-0.060000000000000046
2.294294294294294,-1.0,1.0,-1.0,-0.060000000000000046
2.2982982982982985,-1.0,1.0,-1.0,-0.060000000000000046
2.3023023023023024,1.0,1.0,1.0,-0.060000000000000046
2.3063063063063063,1.0,1.0,1.0,-0.060000000000000046
2.31031031031031,1.0,1.0,1.0,-0.060000000000000046
2.314314314314314,1.0,1.0,1.0,-0.08000000000000006
2.3183183183183185,1.0,-1.0,-1.0,-0.10000000000000006
2.3223223223223224,1.0,-1.0,-1.0,-0.12000000000000005
2.3263263263263263,1.0,-1.0,-1.0,-0.14000000000000007
2.33033033033033,1.0,-1.0,-1.0,-0.1600000000000001
2.334334334334334,1.0,-1.0,-1.0,-0.1600000000000001
2.3383383383383385,1.0,-1.0,-1.0,-0.1600000000000001
2.3423423423423424,1.0,-1.0,-1.0,-0.1600000000000001
2.3463463463463463,1.0,-1.0,-1.0,-0.16000000000000006
2.3503503503503502,-1.0,-1.0,1.0,-0.16000000000000003
2.354354354354354,-1.0,-1.0,1.0,-0.18000000000000005
2.3583583583583585,-1.0,-1.0,1.0,-0.18000000000000005
2.3623623623623624,-1.0,-1.0,1.0,-0.2
2.3663663663663663,-1.0,1.0,-1.0,-0.22000000000000003
2.3703703703703702,-1.0,1.0,-1.0,-0.24000000000000005
2.374374374374374,-1.0,1.0,-1.0,-0.26000000000000006
2.3783783783783785,-1.0,1.0,-1.0,-0.26000000000000006
2.3823823823823824,-1.0,1.0,-1.0,-0.26000000000000006
2.3863863863863863,-1.0,1.0,-1.0,-0.26000000000000006
2.3903903903903903,-1.0,1.0,-1.0,-0.26000000000000006
2.394394394394394,-1.0,1.0,-1.0,-0.26
2.3983983983983985,-1.0,1.0,-1.0,-0.26
2.4024024024024024,1.0,1.0,1.0,-0.26
2.4064064064064064,1.0,1.0,1.0,-0.27999999999999997
2.4104104104104103,1.0,-1.0,-1.0,-0.3
2.414414414414414,1.0,-1.0,-1.0,-0.32
2.4184184184184185,1.0,-1.0,-1.0,-0.34
2.4224224224224224,1.0,-1.0,-1.0,-0.34
2.4264264264264264,1.0,-1.0,-1.0,-0.34
2.4304304304304303,1.0,-1.0,-1.0,-0.34
2.4344344344344346,1.0,-1.0,-1.0,-0.34
2.4384384384384385,1.0,-1.0,-1.0,-0.34
2.4424424424424425,1.0,-1.0,-1.0,-0.33999999999999997
2.4464464464464464,1.0,-1.0,-1.0,-0.33999999999999997
2.4504504504504503,-1.0,-1.0,1.0,-0.31999999999999995
2.4544544544544546,-1.0,-1.0,1.0,-0.33999999999999997
2.4584584584584586,-1.0,1.0,-1.0,-0.36
2.4624624624624625,-1.0,1.0,-1.0,-0.38
2.4664664664664664,-1.0,1.0,-1.0,-0.4
2.4704704704704703,-1.0,1.0,-1.0,-0.4
2.4744744744744747,-1.0,1.0,-1.0,-0.4
2.4784784784784786,-1.0,1.0,-1.0,-0.4
2.4824824824824825,-1.0,1.0,-1.0,-0.4
2.4864864864864864,-1.0,1.0,-1.0,-0.4
2.4904904904904903,-1.0,1.0,-1.0,-0.4
2.4944944944944947,-1.0,1.0,-1.0,-0.39999999999999997
2.4984984984984986,-1.0,1.0,-1.0,-0.3799999999999999
2.5025025025025025,1.0,-1.0,-1.0,-0.3599999999999999
2.5065065065065064,1.0,-1.0,-1.0,-0.3799999999999999
2.5105105105105103,1.0,-1.0,-1.0,-0.39999999999999997
2.5145145145145147,1.0,-1.0,-1.0,-0.39999999999999997
2.5185185185185186,1.0,-1.0,-1.0,-0.3999999999999999
2.5225225225225225,1.0,-1.0,-1.0,-0.39999999999999997
2.5265265265265264,1.0,-1.0,-1.0,-0.4
2.5305305305305303,1.0,-1.0,-1.0,-0.39999999999999997
2.5345345345345347,1.0,-1.0,-1.0,-0.3999999999999999
2.5385385385385386,1.0,-1.0,-1.0,-0.3999999999999999
2.5425425425425425,1.0,-1.0,-1.0,-0.37999999999999995
2.5465465465465464,1.0,1.0,1.0,-0.35999999999999993
2.5505505505505504,-1.0,1.0,-1.0,-0.3399999999999999
2.5545545545545547,-1.0,1.0,-1.0,-0.35999999999999993
2.5585585585585586,-1.0,1.0,-1.0,-0.35999999999999993
2.5625625625625625,-1.0,1.0,-1.0,-0.35999999999999993
2.5665665665665665,-1.0,1.0,-1.0,-0.35999999999999993
2.5705705705705704,-1.0,1.0,-1.0,-0.35999999999999993
2.5745745745745747,-1.0,1.0,-1.0,-0.35999999999999993
2.5785785785785786,-1.0,1.0,-1.0,-0.35999999999999993
2.5825825825825826,-1.0,1.0,-1.0,-0.35999999999999993
2.5865865865865865,-1.0,1.0,-1.0,-0.3399999999999999
2.5905905905905904,-1.0,1.0,-1.0,-0.3199999999999999
2.5945945945945947,-1.0,-1.0,1.0,-0.29999999999999993
2.5985985985985987,-1.0,-1.0,1.0,-0.2799999999999999
2.6026026026026026,1.0,-1.0,-1.0,-0.2599999999999999
2.6066066066066065,1.0,-1.0,-1.0,-0.2599999999999999
2.6106106106106104,1.0,-1.0,-1.0,-0.2599999999999999
2.6146146146146148,1.0,-1.0,-1.0,-0.2599999999999999
2.6186186186186187,1.0,-1.0,-1.0,-0.2599999999999999
2.6226226226226226,1.0,-1.0,-1.0,-0.2599999999999999
2.6266266266266265,1.0,-1.0,-1.0,-0.2599999999999999
2.6306306306306304,1.0,-1.0,-1.0,-0.2599999999999999
2.6346346346346348,1.0,-1.0,-1.0,-0.23999999999999988
2.6386386386386387,1.0,1.0,1.0,-0.21999999999999986
2.6426426426426426,1.0,1.0,1.0,-0.19999999999999984
2.6466466466466465,1.0,1.0,1.0,-0.17999999999999988
2.6506506506506504,-1.0,1.0,-1.0,-0.1799999999999999
2.6546546546546548,-1.0,1.0,-1.0,-0.1799999999999999
2.6586586586586587,-1.0,1.0,-1.0,-0.1799999999999999
2.6626626626626626,-1.0,1.0,-1.0,-0.1799999999999999
2.6666666666666665,-1.0,1.0,-1.0,-0.17999999999999988
2.6706706706706704,-1.0,1.0,-1.0,-0.17999999999999988
2.674674674674675,-1.0,1.0,-1.0,-0.17999999999999988
2.6786786786786787,-1.0,1.0,-1.0,-0.15999999999999986
2.6826826826826826,-1.0,-1.0,1.0,-0.13999999999999985
2.6866866866866865,-1.0,-1.0,1.0,-0.11999999999999987
2.6906906906906904,-1.0,-1.0,1.0,-0.09999999999999991
2.694694694694695,-1.0,-1.0,1.0,-0.09999999999999994
2.6986986986986987,-1.0,-1.0,1.0,-0.09999999999999996
2.7027027027027026,1.0,-1.0,-1.0,-0.09999999999999996
2.7067067067067065,1.0,-1.0,-1.0,-0.09999999999999996
2.710710710710711,1.0,-1.0,-1.0,-0.09999999999999996
2.714714714714715,1.0,-1.0,-1.0,-0.09999999999999996
2.7187187187187187,1.0,-1.0,-1.0,-0.09999999999999996
2.7227227227227226,1.0,-1.0,-1.0,-0.07999999999999997
2.7267267267267266,1.0,-1.0,-1.0,-0.05999999999999996
2.730730730730731,1.0,1.0,1.0,-0.03999999999999997
2.734734734734735,1.0,1.0,1.0,-0.01999999999999997
2.7387387387387387,1.0,1.0,1.0,5.898059818321144e-17
2.7427427427427427,1.0,1.0,1.0,5.204170427930421e-17
2.7467467467467466,1.0,1.0,1.0,3.8163916471489756e-17
2.750750750750751,-1.0,1.0,-1.0,4.5102810375396984e-17
2.754754754754755,-1.0,1.0,-1.0,4.5102810375396984e-17
2.7587587587587588,-1.0,1.0,-1.0,4.163336342344337e-17
2.7627627627627627,-1.0,1.0,-1.0,4.5102810375396984e-17
2.7667667667667666,-1.0,1.0,-1.0,4.5102810375396984e-17
2.770770770770771,-1.0,1.0,-1.0,0.020000000000000046
2.774774774774775,-1.0,-1.0,1.0,0.04000000000000004
2.7787787787787788,-1.0,-1.0,1.0,0.060000000000000046
2.7827827827827827,-1.0,-1.0,1.0,0.08000000000000004
2.7867867867867866,-1.0,-1.0,1.0,0.08000000000000004
2.790790790790791,-1.0,-1.0,1.0,0.08000000000000003
2.794794794794795,-1.0,-1.0,1.0,0.08000000000000003
2.798798798798799,-1.0,-1.0,1.0,0.08000000000000004
2.8028028028028027,1.0,-1.0,-1.0,0.08000000000000006
2.8068068068068066,1.0,-1.0,-1.0,0.08000000000000006
2.810810810810811,1.0,-1.0,-1.0,0.08000000000000006
2.814814814814815,1.0,-1.0,-1.0,0.10000000000000005
2.818818818818819,1.0,1.0,1.0,0.12000000000000005
2.8228228228228227,1.0,1.0,1.0,0.14000000000000007
2.8268268268268266,1.0,1.0,1.0,0.1600000000000001
2.830830830830831,1.0,1.0,1.0,0.1800000000000001
2.834834834834835,1.0,1.0,1.0,0.1800000000000001
2.838838838838839,1.0,1.0,1.0,0.1800000000000001
2.8428428428428427,1.0,1.0,1.0,0.18000000000000008
2.8468468468468466,1.0,1.0,1.0,0.18000000000000005
2.850850850850851,-1.0,1.0,-1.0,0.18000000000000005
2.854854854854855,-1.0,1.0,-1.0,0.18000000000000005
2.858858858858859,-1.0,1.0,-1.0,0.18000000000000005
2.8628628628628627,-1.0,1.0,-1.0,0.2
2.8668668668668666,-1.0,-1.0,1.0,0.22000000000000003
2.870870870870871,-1.0,-1.0,1.0,0.24000000000000005
2.874874874874875,-1.0,-1.0,1.0,0.26000000000000006
2.878878878878879,-1.0,-1.0,1.0,0.26000000000000006
2.8828828828828827,-1.0,-1.0,1.0,0.26000000000000006
2.8868868868868867,-1.0,-1.0,1.0,0.26000000000000006
2.890890890890891,-1.0,-1.0,1.0,0.26000000000000006
2.894894894894895,-1.0,-1.0,1.0,0.26
2.898898898898899,-1.0,-1.0,1.0,0.26
2.9029029029029028,1.0,-1.0,-1.0,0.26
2.9069069069069067,1.0,-1.0,-1.0,0.27999999999999997
2.910910910910911,1.0,1.0,1.0,0.3
2.914914914914915,1.0,1.0,1.0,0.32
2.918918918918919,1.0,1.0,1.0,0.34
2.9229229229229228,1.0,1.0,1.0,0.34
2.9269269269269267,1.0,1.0,1.0,0.34
2.930930930930931,1.0,1.0,1.0,0.34
2.934934934934935,1.0,1.0,1.0,0.34
2.938938938938939,1.0,1.0,1.0,0.34
2.942942942942943,1.0,1.0,1.0,0.34
2.946946946946947,1.0,1.0,1.0,0.33999999999999997
2.950950950950951,-1.0,1.0,-1.0,0.31999999999999995
2.954954954954955,-1.0,-1.0,1.0,0.33999999999999997
2.958958958958959,-1.0,-1.0,1.0,0.36
2.962962962962963,-1.0,-1.0,1.0,0.38
2.966966966966967,-1.0,-1.0,1.0,0.4
2.970970970970971,-1.0,-1.0,1.0,0.4
2.974974974974975,-1.0,-1.0,1.0,0.4
2.978978978978979,-1.0,-1.0,1.0,0.4
2.982982982982983,-1.0,-1.0,1.0,0.4
2.986986986986987,-1.0,-1.0,1.0,0.4
2.990990990990991,-1.0,-1.0,1.0,0.39999999999999997
2.994994994994995,-1.0,-1.0,1.0,0.3999999999999999
2.998998998998999,-1.0,-1.0,1.0,0.3799999999999999
3.003003003003003,1.0,1.0,1.0,0.3599999999999999
3.007007007007007,1.0,1.0,1.0,0.3799999999999999
3.011011011011011,1.0,1.0,1.0,0.39999999999999997
3.015015015015015,1.0,1.0,1.0,0.39999999999999997
3.019019019019019,1.0,1.0,1.0,0.3999999999999999
3.023023023023023,1.0,1.0,1.0,0.3999999999999999
3.027027027027027,1.0,1.0,1.0,0.39999999999999997
3.031031031031031,1.0,1.0,1.0,0.39999999999999997
3.035035035035035,1.0,1.0,1.0,0.3999999999999999
3.039039039039039,1.0,1.0,1.0,0.3999999999999999
3.043043043043043,1.0,1.0,1.0,0.37999999999999995
3.047047047047047,1.0,-1.0,-1.0,0.35999999999999993
3.051051051051051,-1.0,-1.0,1.0,0.3399999999999999
3.055055055055055,-1.0,-1.0,1.0,0.35999999999999993
3.059059059059059,-1.0,-1.0,1.0,0.35999999999999993
3.063063063063063,-1.0,-1.0,1.0,0.35999999999999993
3.067067067067067,-1.0,-1.0,1.0,0.35999999999999993
3.071071071071071,-1.0,-1.0,1.0,0.35999999999999993
3.075075075075075,-1.0,-1.0,1.0,0.35999999999999993
3.079079079079079,-1.0,-1.0,1.0,0.35999999999999993
3.083083083083083,-1.0,-1.0,1.0,0.35999999999999993
3.0870870870870872,-1.0,-1.0,1.0,0.3399999999999999
3.091091091091091,-1.0,1.0,-1.0,0.3199999999999999
3.095095095095095,-1.0,1.0,-1.0,0.29999999999999993
3.099099099099099,-1.0,1.0,-1.0,0.2799999999999999
3.103103103103103,1.0,1.0,1.0,0.2599999999999999
3.1071071071071072,1.0,1.0,1.0,0.2599999999999999
3.111111111111111,1.0,1.0,1.0,0.2599999999999999
3.115115115115115,1.0,1.0,1.0,0.2599999999999999
3.119119119119119,1.0,1.0,1.0,0.2599999999999999
3.123123123123123,1.0,1.0,1.0,0.2599999999999999
3.1271271271271273,1.0,1.0,1.0,0.2599999999999999
3.131131131131131,1.0,1.0,1.0,0.2599999999999999
3.135135135135135,1.0,1.0,1.0,0.23999999999999988
3.139139139139139,1.0,-1.0,-1.0,0.21999999999999986
3.143143143143143,1.0,-1.0,-1.0,0.19999999999999984
3.1471471471471473,1.0,-1.0,-1.0,0.17999999999999988
3.151151151151151,-1.0,-1.0,1.0,0.17999999999999988
3.155155155155155,-1.0,-1.0,1.0,0.17999999999999988
3.159159159159159,-1.0,-1.0,1.0,0.17999999999999988
3.163163163163163,-1.0,-1.0,1.0,0.17999999999999988
3.1671671671671673,-1.0,-1.0,1.0,0.17999999999999988
3.171171171171171,-1.0,-1.0,1.0,0.17999999999999988
3.175175175175175,-1.0,-1.0,1.0,0.17999999999999988
3.179179179179179,-1.0,-1.0,1.0,0.15999999999999986
3.183183183183183,-1.0,1.0,-1.0,0.13999999999999985
3.1871871871871873,-1.0,1.0,-1.0,0.11999999999999987
3.191191191191191,-1.0,1.0,-1.0,0.09999999999999991
3.195195195195195,-1.0,1.0,-1.0,0.09999999999999994
3.199199199199199,-1.0,1.0,-1.0,0.09999999999999996
3.203203203203203,1.0,1.0,1.0,0.09999999999999996
3.2072072072072073,1.0,1.0,1.0,0.09999999999999996
3.2112112112112112,1.0,1.0,1.0,0.09999999999999996
3.215215215215215,1.0,1.0,1.0,0.09999999999999996
3.219219219219219,1.0,1.0,1.0,0.09999999999999996
3.2232232232232234,1.0,1.0,1.0,0.07999999999999997
3.2272272272272273,1.0,1.0,1.0,0.05999999999999996
3.2312312312312312,1.0,-1.0,-1.0,0.03999999999999996
3.235235235235235,1.0,-1.0,-1.0,0.019999999999999955
3.239239239239239,1.0,-1.0,-1.0,-5.898059818321144e-17
3.2432432432432434,1.0,-1.0,-1.0,-5.204170427930421e-17
3.2472472472472473,1.0,-1.0,-1.0,-3.8163916471489756e-17
