TIME  IN1  IN2
166.016  -3.214111  -4.212646
156.25  -3.045044  -4.203491
146.484  -2.877808  -4.194336
136.719  -2.711182  -4.186401
126.953  -2.544556  -4.178467
117.188  -2.213135  -4.161987
107.422  -2.04895  -4.155273
97.656  -1.886597  -4.14978
87.891  -1.722412  -4.142456
78.125  -1.558228  -4.135742
68.359  -1.234131  -4.124146
58.594  -1.072998  -4.118652
48.828  -0.911865  -4.113159
39.063  -0.751343  -4.108276
29.297  -0.5896  -4.103394
19.531  -0.429688  -4.098511
9.766  -0.111694  -4.089355
0  0.046387  -4.085083
-9.766  0.205078  -4.081421
-19.531  0.36377  -4.077148
-29.297  0.521851  -4.072876
-39.063  0.838623  -4.064941
-48.828  0.996094  -4.0625
-58.594  1.154175  -4.058228
-68.359  1.310425  -4.058838
-78.125  1.467896  -4.053955
-87.891  1.781616  -4.031982
-97.656  1.938477  -4.008789
-107.422  2.122803  1.817017
-117.188  2.286987  4.876099
-126.953  2.440186  4.869995
-136.719  2.751465  4.823608
-146.484  2.907104  4.796753
-156.25  3.062134  4.771118
-166.016  3.217773  4.747925
-175.781  3.374023  4.727173
-185.547  3.686523  4.68811
-195.313  3.842163  4.673462
-205.078  3.997803  4.658813
-214.844  4.154663  4.646606
-224.609  4.312134  4.638672
-234.375  4.470215  4.633789
-244.141  4.786987  4.777222
-253.906  4.921265  4.915771
-263.672  4.796143  4.819336
-273.438  4.611816  4.641113
-283.203  4.433594  4.556885
-292.969  4.080811  4.512329
-302.734  3.90686  4.498291
-312.5  3.734131  4.483643
-322.266  3.563232  4.470215
-332.031  3.392334  4.459229
-341.797  3.052368  4.437256
-351.563  2.883301  4.42749
-361.328  2.717285  4.418945
-371.094  2.550049  4.40918
-380.859  2.385254  4.401245
-390.625  2.055054  4.385376
-400.391  1.891479  4.378052
-410.156  1.728516  4.371948
-419.922  1.564941  4.365234
-429.688  1.402588  4.358521
-439.453  1.240234  4.352417
-449.219  0.918579  4.34082
-458.984  0.758057  4.335327
-468.75  0.596924  4.331055
