TIME  IN1  IN2
1.924  1.552124  -4.431152
1.914  1.708984  -4.406128
1.904  1.867065  -4.382324
1.895  2.181396  -4.34021
1.885  2.337646  -4.320679
1.875  2.493896  -4.302979
1.865  2.651367  -4.285889
1.855  2.808228  -4.269409
1.846  3.119507  -4.240723
1.836  3.276367  -4.227905
1.826  3.433838  -4.215698
1.816  3.590088  -4.204102
1.807  3.747559  -4.193115
1.797  4.060059  -4.173584
1.787  4.216309  -4.165039
1.777  4.375  -4.156494
1.768  4.533691  -4.14856
1.758  4.691772  -4.141235
1.748  4.851685  -4.134521
1.738  4.714355  -4.117432
1.729  4.534302  -4.111328
1.719  4.354858  -4.105835
1.709  4.178467  -4.100952
1.699  4.002686  -4.096069
1.689  3.656616  -4.087524
1.68  3.484497  -4.083252
1.67  3.312988  -4.080811
1.66  3.1427  -4.077148
1.65  2.973633  -4.073486
1.641  2.63855  -4.067993
1.631  2.471313  -4.065552
1.621  2.305298  -4.0625
1.611  2.139282  -4.060059
1.602  1.974487  -4.057617
1.592  1.647339  -4.053345
1.582  1.484375  -4.051514
1.572  1.321411  -4.049683
1.563  1.158447  -4.048462
1.553  0.997925  -4.047852
1.543  0.675049  -4.044189
1.533  0.513306  -4.042358
1.523  0.353394  -4.042358
1.514  0.192871  -4.041748
1.504  0.033569  -4.041138
1.494  -0.126343  -4.02832
1.484  -0.435181  3.175659
1.475  -0.597534  4.799805
1.465  -0.758057  4.788208
1.455  -0.917969  4.762573
1.445  -1.077271  4.733887
1.436  -1.394653  4.675903
1.426  -1.551514  4.649048
1.416  -1.708984  4.625244
1.406  -1.866455  4.60083
1.396  -2.024536  4.578857
1.387  -2.337646  4.539795
1.377  -2.494507  4.522095
1.367  -2.651367  4.506226
1.357  -2.808228  4.490356
1.348  -2.965088  4.475098
1.338  -3.276367  4.449463
1.328  -3.433228  4.436646
1.318  -3.590698  4.424438
1.309  -3.746948  4.414673
1.299  -3.903198  4.404297
1.289  -4.057617  4.395142
1.279  -4.370117  4.378662
1.27  -4.525757  4.370728
1.26  -4.681396  4.363403
1.25  -4.836426  4.356689
1.24  -4.890747  4.349976
1.23  -4.541016  4.3396
1.221  -4.362793  4.332886
1.211  -4.185181  4.328613
1.201  -4.009399  4.324341
1.191  -3.835449  4.319458
1.182  -3.490601  4.312134
1.172  -3.318481  4.308472
1.162  -3.148193  4.30481
1.152  -2.979126  4.301147
