time	V(vref)	V(n001)	V(n002)	V(n003)
5.026631491428651e-004	-1.000000e+000	-8.479144e+000	-6.933086e+000	-4.467370e+000
5.053262982857295e-004	-1.000000e+000	-8.480009e+000	-6.925347e+000	-3.934740e+000
5.079894474285939e-004	-1.000000e+000	-8.479806e+000	-6.917712e+000	-3.402111e+000
5.106525965714584e-004	-1.000000e+000	-8.478536e+000	-6.910180e+000	-2.869481e+000
5.133157457143227e-004	-1.000000e+000	-8.476197e+000	-6.902751e+000	-2.336851e+000
5.159788948571871e-004	-1.000000e+000	-8.472791e+000	-6.895426e+000	-1.804221e+000
5.186420440000515e-004	-1.000000e+000	-8.468318e+000	-6.888204e+000	-1.271591e+000
5.203466593989883e-004	-1.000000e+000	-8.440371e+000	-6.883659e+000	-9.306681e-001
5.212384509642440e-004	-1.000000e+000	-7.343724e+000	-6.881298e+000	-7.523098e-001
5.219709884740291e-004	-1.000000e+000	-3.887376e+000	-6.879361e+000	-6.058023e-001
5.225997754859250e-004	-1.000000e+000	1.402647e+000	-6.877685e+000	-4.800449e-001
5.231865489823790e-004	-1.000000e+000	6.330149e+000	-6.876096e+000	-3.626902e-001
5.236456086465054e-004	-1.000000e+000	8.360512e+000	-6.874830e+000	-2.708783e-001
5.237277173226390e-004	-1.000000e+000	8.439145e+000	-6.874600e+000	-2.544565e-001
5.255291079176086e-004	-1.000000e+000	8.469015e+000	-6.869252e+000	1.058216e-001
5.263721826694592e-004	-1.000000e+000	3.858218e+000	-6.866592e+000	2.744365e-001
5.270773237581395e-004	-1.000000e+000	-8.353298e+000	-6.864319e+000	4.154648e-001
5.270873933233679e-004	-1.000000e+000	-8.472458e+000	-6.864286e+000	4.174787e-001
5.272686454974801e-004	-1.000000e+000	-8.482335e+000	-6.863694e+000	4.537291e-001
5.274498976715923e-004	-1.000000e+000	-8.443750e+000	-6.863101e+000	4.899796e-001
5.276311498457045e-004	-1.000000e+000	-8.356702e+000	-6.862510e+000	5.262300e-001
5.278124020198168e-004	-1.000000e+000	-8.221192e+000	-6.861919e+000	5.624804e-001
5.279936541939290e-004	-1.000000e+000	-8.037218e+000	-6.861328e+000	5.987309e-001
5.281749063680411e-004	-1.000000e+000	-7.804782e+000	-6.860738e+000	6.349813e-001
5.283561585421534e-004	-1.000000e+000	-7.523883e+000	-6.860148e+000	6.712317e-001
5.291731765561941e-004	-1.000000e+000	-6.872415e+000	-6.857489e+000	8.346353e-001
5.341348441365162e-004	-1.000000e+000	-6.842900e+000	-6.841350e+000	1.826969e+000
5.363568072347464e-004	-1.000000e+000	-7.064540e+000	-6.834125e+000	2.271361e+000
5.367976733877690e-004	-1.000000e+000	-7.017720e+000	-6.832692e+000	2.359535e+000
5.376794056938145e-004	-1.000000e+000	-6.830014e+000	-6.829825e+000	2.535881e+000
5.500000000000010e-004	-1.000000e+000	-6.799406e+000	-6.789800e+000	5.000000e+000
5.771364634950113e-004	-1.000000e+000	-6.720716e+000	-6.701817e+000	-4.272927e-001
5.787443052847414e-004	-1.000000e+000	-6.771999e+000	-6.696612e+000	-7.488611e-001
5.795713282489552e-004	-1.000000e+000	-6.828099e+000	-6.693936e+000	-9.142656e-001
5.805459242911629e-004	-1.000000e+000	-7.131267e+000	-6.690784e+000	-1.109185e+000
5.825984074294679e-004	-1.000000e+000	-8.413628e+000	-6.684167e+000	-1.519681e+000
5.827363253411754e-004	-1.000000e+000	-8.448990e+000	-6.683724e+000	-1.547265e+000
5.843536930957594e-004	-1.000000e+000	-8.461361e+000	-6.678564e+000	-1.870739e+000
5.859710608503436e-004	-1.000000e+000	-8.470944e+000	-6.673451e+000	-2.194212e+000
5.875884286049276e-004	-1.000000e+000	-8.477740e+000	-6.668386e+000	-2.517686e+000
5.892057963595117e-004	-1.000000e+000	-8.481748e+000	-6.663370e+000	-2.841159e+000
5.908231641140958e-004	-1.000000e+000	-8.482968e+000	-6.658401e+000	-3.164633e+000
5.924405318686799e-004	-1.000000e+000	-8.481401e+000	-6.653480e+000	-3.488106e+000
5.940578996232640e-004	-1.000000e+000	-8.477047e+000	-6.648608e+000	-3.811580e+000
6.000000000000009e-004	-1.000000e+000	-8.477203e+000	-6.631089e+000	-5.000000e+000
6.026602369481020e-004	-1.000000e+000	-8.479405e+000	-6.623494e+000	-4.467953e+000
6.053204738962031e-004	-1.000000e+000	-8.480455e+000	-6.616025e+000	-3.935905e+000
6.079807108443041e-004	-1.000000e+000	-8.480355e+000	-6.608683e+000	-3.403858e+000
6.106409477924053e-004	-1.000000e+000	-8.479105e+000	-6.601468e+000	-2.871810e+000
6.133011847405063e-004	-1.000000e+000	-8.476703e+000	-6.594380e+000	-2.339763e+000
6.159614216886075e-004	-1.000000e+000	-8.473152e+000	-6.587419e+000	-1.807716e+000
6.186216586367085e-004	-1.000000e+000	-8.468450e+000	-6.580585e+000	-1.275668e+000
6.204692277725919e-004	-1.000000e+000	-8.436028e+000	-6.575933e+000	-9.061545e-001
6.213016713494493e-004	-1.000000e+000	-7.314639e+000	-6.573857e+000	-7.396657e-001
6.219892618174917e-004	-1.000000e+000	-3.901823e+000	-6.572145e+000	-6.021476e-001
6.225811392711214e-004	-1.000000e+000	1.148246e+000	-6.570662e+000	-4.837722e-001
6.231408301215579e-004	-1.000000e+000	5.957853e+000	-6.569237e+000	-3.718340e-001
6.235987445699594e-004	-1.000000e+000	8.314001e+000	-6.568050e+000	-2.802511e-001
6.236814295618056e-004	-1.000000e+000	8.436069e+000	-6.567832e+000	-2.637141e-001
6.256003693225835e-004	-1.000000e+000	8.469397e+000	-6.562451e+000	1.200739e-001
6.263532630987845e-004	-1.000000e+000	7.860275e+000	-6.560185e+000	2.706526e-001
6.276536885206107e-004	-1.000000e+000	6.441996e-001	-6.556138e+000	5.307377e-001
6.276943268150427e-004	-1.000000e+000	-3.815410e+000	-6.556009e+000	5.388654e-001
6.277044863886508e-004	-1.000000e+000	-5.299356e+000	-6.555976e+000	5.408973e-001
6.277248055358668e-004	-1.000000e+000	-6.307300e+000	-6.555911e+000	5.449611e-001
6.277654438302989e-004	-1.000000e+000	-6.640201e+000	-6.555779e+000	5.530888e-001
6.278467204191630e-004	-1.000000e+000	-6.614268e+000	-6.555518e+000	5.693441e-001
6.302196275587528e-004	-1.000000e+000	-6.579945e+000	-6.547869e+000	1.043926e+000
6.325925346983426e-004	-1.000000e+000	-6.551719e+000	-6.540223e+000	1.518507e+000
6.349654418379325e-004	-1.000000e+000	-6.529590e+000	-6.532578e+000	1.993088e+000
6.373383489775224e-004	-1.000000e+000	-6.513559e+000	-6.524936e+000	2.467670e+000
6.397112561171123e-004	-1.000000e+000	-6.503625e+000	-6.517296e+000	2.942251e+000
6.420841632567021e-004	-1.000000e+000	-6.499788e+000	-6.509658e+000	3.416833e+000
6.444570703962920e-004	-1.000000e+000	-6.502048e+000	-6.502022e+000	3.891414e+000
6.500000000000012e-004	-1.000000e+000	-6.498991e+000	-6.484190e+000	5.000000e+000
6.538872273195214e-004	-1.000000e+000	-6.474092e+000	-6.471692e+000	4.222555e+000
6.577744546390416e-004	-1.000000e+000	-6.453764e+000	-6.459198e+000	3.445109e+000
6.616616819585618e-004	-1.000000e+000	-6.438006e+000	-6.446709e+000	2.667664e+000
6.655489092780821e-004	-1.000000e+000	-6.426818e+000	-6.434225e+000	1.890218e+000
6.694361365976023e-004	-1.000000e+000	-6.420201e+000	-6.421744e+000	1.112773e+000
6.733233639171224e-004	-1.000000e+000	-6.418154e+000	-6.409268e+000	3.353272e-001
6.772105912366427e-004	-1.000000e+000	-6.420677e+000	-6.396797e+000	-4.421183e-001
6.791571593043634e-004	-1.000000e+000	-6.489933e+000	-6.390555e+000	-8.314319e-001
6.800934038562953e-004	-1.000000e+000	-6.591860e+000	-6.387555e+000	-1.018681e+000
6.809095287197057e-004	-1.000000e+000	-7.115796e+000	-6.384942e+000	-1.181906e+000
6.817000345913867e-004	-1.000000e+000	-7.980516e+000	-6.382416e+000	-1.340007e+000
6.824956872574832e-004	-1.000000e+000	-8.425696e+000	-6.379884e+000	-1.499137e+000
6.854247924562426e-004	-1.000000e+000	-8.472830e+000	-6.370675e+000	-2.084959e+000
7.000000000000012e-004	-1.000000e+000	-8.477194e+000	-6.327572e+000	-5.000000e+000
7.026196922584560e-004	-1.000000e+000	-8.478672e+000	-6.320351e+000	-4.476062e+000
7.052393845169107e-004	-1.000000e+000	-8.479333e+000	-6.313269e+000	-3.952123e+000
7.078590767753655e-004	-1.000000e+000	-8.479176e+000	-6.306325e+000	-3.428185e+000
7.104787690338202e-004	-1.000000e+000	-8.478202e+000	-6.299520e+000	-2.904246e+000
7.130984612922750e-004	-1.000000e+000	-8.476410e+000	-6.292853e+000	-2.380308e+000
7.157181535507297e-004	-1.000000e+000	-8.473801e+000	-6.286324e+000	-1.856369e+000
7.183378458091845e-004	-1.000000e+000	-8.470374e+000	-6.279933e+000	-1.332431e+000
7.200629520106056e-004	-1.000000e+000	-8.450031e+000	-6.275833e+000	-9.874096e-001
7.208781648725239e-004	-1.000000e+000	-7.995834e+000	-6.273917e+000	-8.243670e-001
7.216671035472820e-004	-1.000000e+000	-5.723326e+000	-6.272072e+000	-6.665793e-001
7.222663920457343e-004	-1.000000e+000	-1.670775e+000	-6.270669e+000	-5.467216e-001
7.228511850079962e-004	-1.000000e+000	3.286732e+000	-6.269281e+000	-4.297630e-001
7.235482537538502e-004	-1.000000e+000	8.392761e+000	-6.267600e+000	-2.903492e-001
7.235584131802365e-004	-1.000000e+000	8.426513e+000	-6.267575e+000	-2.883174e-001
7.239576952485387e-004	-1.000000e+000	8.441803e+000	-6.266573e+000	-2.084609e-001
7.243569773168409e-004	-1.000000e+000	8.454180e+000	-6.265547e+000	-1.286045e-001
7.247562593851430e-004	-1.000000e+000	8.463642e+000	-6.264497e+000	-4.874813e-002
7.251555414534452e-004	-1.000000e+000	8.470190e+000	-6.263424e+000	3.110829e-002
7.255548235217474e-004	-1.000000e+000	8.473825e+000	-6.262326e+000	1.109647e-001
7.259541055900496e-004	-1.000000e+000	8.474545e+000	-6.261205e+000	1.908211e-001
7.263533876583518e-004	-1.000000e+000	8.472351e+000	-6.260061e+000	2.706775e-001
