[s],CH2[V]
-2.3280E-02,-8.79961E-01
-2.3275E-02,-8.69961E-01
-2.3270E-02,-8.69961E-01
-2.3265E-02,-8.69961E-01
-2.3260E-02,-8.79961E-01
-2.3255E-02,-8.69961E-01
-2.3250E-02,-8.59961E-01
-2.3245E-02,-8.69961E-01
-2.3240E-02,-8.79961E-01
-2.3235E-02,-8.89961E-01
-2.3230E-02,-8.79961E-01
-2.3225E-02,-8.69961E-01
-2.3220E-02,-8.59961E-01
-2.3215E-02,-8.59961E-01
-2.3210E-02,-8.89961E-01
-2.3205E-02,-8.69961E-01
-2.3200E-02,-8.69961E-01
-2.3195E-02,-8.69961E-01
-2.3190E-02,-8.79961E-01
-2.3185E-02,-8.79961E-01
-2.3180E-02,-8.79961E-01
-2.3175E-02,-8.69961E-01
-2.3170E-02,-8.79961E-01
-2.3165E-02,-8.89961E-01
-2.3160E-02,-8.69961E-01
-2.3155E-02,-8.69961E-01
-2.3150E-02,-8.69961E-01
-2.3145E-02,-8.69961E-01
-2.3140E-02,-8.69961E-01
-2.3135E-02,-8.69961E-01
-2.3130E-02,-8.69961E-01
-2.3125E-02,-8.89961E-01
-2.3120E-02,-8.79961E-01
-2.3115E-02,-8.79961E-01
-2.3110E-02,-8.69961E-01
-2.3105E-02,-8.69961E-01
-2.3100E-02,-8.59961E-01
-2.3095E-02,-8.69961E-01
-2.3090E-02,-8.79961E-01
-2.3085E-02,-8.69961E-01
-2.3080E-02,-8.69961E-01
-2.3075E-02,-8.69961E-01
-2.3070E-02,-8.79961E-01
-2.3065E-02,-8.79961E-01
-2.3060E-02,-8.79961E-01
-2.3055E-02,-8.69961E-01
-2.3050E-02,-8.89961E-01
-2.3045E-02,-8.69961E-01
-2.3040E-02,-8.69961E-01
-2.3035E-02,-8.69961E-01
-2.3030E-02,-8.69961E-01
-2.3025E-02,-8.89961E-01
-2.3020E-02,-8.69961E-01
-2.3015E-02,-8.79961E-01
-2.3010E-02,-8.79961E-01
-2.3005E-02,-8.69961E-01
-2.3000E-02,-8.69961E-01
-2.2995E-02,-8.69961E-01
-2.2990E-02,-8.69961E-01
-2.2985E-02,-8.69961E-01
-2.2980E-02,-8.79961E-01
-2.2975E-02,-8.79961E-01
