time,V(v_out)
1.824755296672847e-002,-8.477278e+000
1.881153803065724e-002,-8.477306e+000
1.937552309458602e-002,-8.477323e+000
1.993950815851479e-002,-8.477329e+000
2.050349322244356e-002,-8.477325e+000
2.106747828637233e-002,-8.477310e+000
2.163146335030111e-002,-8.477284e+000
2.219544841422988e-002,-8.477248e+000
2.259544841422988e-002,-8.477218e+000
2.299544841422987e-002,-8.477183e+000
2.339544841422987e-002,-8.477146e+000
2.379544841422987e-002,-8.477106e+000
2.419544841422987e-002,-8.477063e+000
2.459544841422987e-002,-8.477019e+000
2.499544841422986e-002,-8.476974e+000
2.539544841422986e-002,-8.476930e+000
2.579544841422986e-002,-8.476885e+000
2.619544841422986e-002,-8.476843e+000
2.659544841422985e-002,-8.476721e+000
2.699544841422985e-002,-8.475548e+000
2.723317822207090e-002,-8.472543e+000
2.751748917917154e-002,-8.465104e+000
2.773944934948622e-002,-8.454919e+000
2.802584244649919e-002,-8.435111e+000
2.814876529773734e-002,-8.415147e+000
2.818388611237681e-002,-8.403608e+000
2.819266631603668e-002,-8.399286e+000
2.821022672335641e-002,-8.387255e+000
2.821214245805901e-002,-8.385383e+000
2.821597392746421e-002,-8.380462e+000
2.821693179481551e-002,-8.378957e+000
2.821884752951810e-002,-8.375111e+000
2.822101139263045e-002,-8.369805e+000
2.822144874524694e-002,-8.368421e+000
2.822232345047993e-002,-8.364906e+000
2.822310415097038e-002,-8.360934e+000
2.822375200483591e-002,-8.356486e+000
2.822425316598900e-002,-8.351715e+000
2.822464223746447e-002,-8.346483e+000
2.822493187059682e-002,-8.340812e+000
2.822518113437857e-002,-8.333443e+000
2.822537915703711e-002,-8.324238e+000
2.822552457066366e-002,-8.313197e+000
2.822563088718131e-002,-8.299677e+000
2.822571605724165e-002,-8.281201e+000
2.822579361948131e-002,-8.252154e+000
2.822587538679090e-002,-8.200342e+000
2.822596311719577e-002,-8.107558e+000
2.822606125900085e-002,-7.933346e+000
2.822616364991938e-002,-7.624878e+000
2.822626757992363e-002,-7.090199e+000
2.822638532815726e-002,-6.184792e+000
2.822643908515061e-002,-5.638124e+000
2.822649438447464e-002,-4.982383e+000
2.822681563827295e-002,-9.839604e-001
2.822708126830315e-002,2.232904e+000
2.822761252836353e-002,8.303428e+000
2.822762741964418e-002,8.389180e+000
2.822783589757330e-002,8.426629e+000
2.822935539814559e-002,8.466063e+000
2.823225123715041e-002,8.471537e+000
2.823514707615522e-002,8.475690e+000
2.823804291516004e-002,8.478524e+000
2.824093875416485e-002,8.480039e+000
2.824383459316967e-002,8.480233e+000
2.824673043217448e-002,8.479108e+000
2.824962627117929e-002,8.476664e+000
2.882294849308916e-002,8.476664e+000
2.939627071499902e-002,8.476664e+000
2.996959293690888e-002,8.476664e+000
3.054291515881875e-002,8.476664e+000
3.111623738072861e-002,8.476664e+000
3.168955960263847e-002,8.476664e+000
3.226288182454833e-002,8.476664e+000
3.266288182454833e-002,8.476664e+000
3.306288182454833e-002,8.476663e+000
3.346288182454833e-002,8.476663e+000
3.386288182454832e-002,8.476663e+000
3.426288182454832e-002,8.476663e+000
3.466288182454832e-002,8.476663e+000
3.506288182454832e-002,8.476663e+000
3.546288182454831e-002,8.476663e+000
3.586288182454831e-002,8.476663e+000
3.626288182454831e-002,8.476663e+000
3.666288182454831e-002,8.476444e+000
3.706288182454830e-002,8.474740e+000
3.730339186999392e-002,8.471056e+000
3.758147712652757e-002,8.462584e+000
3.782595738549200e-002,8.448812e+000
3.810698950414646e-002,8.422549e+000
3.815512973444480e-002,8.413735e+000
3.817438582656414e-002,8.406726e+000
3.820454002509559e-002,8.392080e+000
3.820780108546119e-002,8.389609e+000
3.821432320619239e-002,8.382765e+000
3.821574111925378e-002,8.380828e+000
3.821857694537655e-002,8.375982e+000
3.821928590190724e-002,8.374490e+000
3.822070381496862e-002,8.370713e+000
3.822204485606479e-002,8.366171e+000
3.822295805648175e-002,8.361992e+000
3.822365135938949e-002,8.357637e+000
3.822417543075527e-002,8.353081e+000
3.822458825624587e-002,8.348044e+000
3.822490331699883e-002,8.342525e+000
3.822515988993099e-002,8.335823e+000
3.822537371349791e-002,8.327156e+000
3.822553383840240e-002,8.316672e+000
3.822564990107628e-002,8.304026e+000
3.822573974793409e-002,8.287404e+000
3.822581836190848e-002,8.262349e+000
3.822589754709519e-002,8.219047e+000
3.822598619455044e-002,8.138225e+000
3.822607873146828e-002,7.996103e+000
3.822618365563773e-002,7.724147e+000
3.822628408112842e-002,7.278269e+000
3.822639770441923e-002,6.504276e+000
3.822645942996163e-002,5.929264e+000
3.822651124625741e-002,5.341600e+000
3.822663928869224e-002,3.758115e+000
3.822695720495362e-002,-2.440803e-001
3.822728419901868e-002,-4.029002e+000
3.822773402439273e-002,-8.369703e+000
3.822774362602057e-002,-8.412718e+000
3.822816211267124e-002,-8.435022e+000
3.822858059932192e-002,-8.452777e+000
3.822899908597260e-002,-8.465983e+000
3.822941757262328e-002,-8.474639e+000
3.822983605927395e-002,-8.478745e+000
3.823025454592463e-002,-8.478302e+000
3.823067303257530e-002,-8.473310e+000
3.827568872416732e-002,-8.476032e+000
3.832070441575933e-002,-8.478036e+000
3.836572010735135e-002,-8.479323e+000
3.841073579894336e-002,-8.479892e+000
3.845575149053538e-002,-8.479744e+000
3.850076718212740e-002,-8.478878e+000
3.854578287371941e-002,-8.477294e+000
3.885611751304952e-002,-8.477306e+000
3.925611751304951e-002,-8.477320e+000
3.965611751304951e-002,-8.477327e+000
3.999137535990816e-002,-8.477329e+000
4.029679437446807e-002,-8.477328e+000
4.069679437446806e-002,-8.477321e+000
4.109679437446806e-002,-8.477308e+000
4.149679437446806e-002,-8.477291e+000
4.189679437446806e-002,-8.477268e+000
4.229679437446805e-002,-8.477242e+000
4.269679437446805e-002,-8.477209e+000
4.309679437446805e-002,-8.477175e+000
4.349679437446805e-002,-8.477137e+000
4.389679437446804e-002,-8.477095e+000
4.429679437446804e-002,-8.477053e+000
4.469679437446804e-002,-8.477008e+000
4.509679437446804e-002,-8.476963e+000
4.549679437446803e-002,-8.476918e+000
4.589679437446803e-002,-8.476874e+000
4.629679437446803e-002,-8.476831e+000
4.669679437446803e-002,-8.476474e+000
4.709679437446802e-002,-8.474340e+000
4.734614718746243e-002,-8.470054e+000
4.762719285929357e-002,-8.460561e+000
4.788850287517586e-002,-8.442630e+000
4.817338948968027e-002,-8.407957e+000
4.819006206941275e-002,-8.401167e+000
4.819423021434587e-002,-8.399030e+000
4.820256650421211e-002,-8.393363e+000
4.821257997757679e-002,-8.384727e+000
4.821460612727987e-002,-8.382221e+000
4.821865842668605e-002,-8.375669e+000
4.821925891279515e-002,-8.374442e+000
4.822045988501336e-002,-8.371217e+000
4.822216540028541e-002,-8.365280e+000
4.822316511925243e-002,-8.360766e+000
4.822326688874321e-002,-8.360184e+000
4.822347042772476e-002,-8.358795e+000
4.822387750568789e-002,-8.355512e+000
4.822430487723504e-002,-8.351114e+000
4.822465984262137e-002,-8.346145e+000
4.822493735064101e-002,-8.340578e+000
4.822518214721770e-002,-8.333217e+000
4.822537962547584e-002,-8.323890e+000
4.822552408639982e-002,-8.312721e+000
4.822562970097126e-002,-8.299009e+000
4.822571439521373e-002,-8.280213e+000
4.822579188517409e-002,-8.250501e+000
4.822587411517645e-002,-8.197237e+000
4.822596185145799e-002,-8.102330e+000
4.822606077502784e-002,-7.922762e+000
4.822616279642286e-002,-7.608169e+000
4.822626730221864e-002,-7.058199e+000
4.822638596297060e-002,-6.127832e+000
4.822643966327128e-002,-5.573934e+000
4.822649692423424e-002,-4.889849e+000
4.822682453088477e-002,-8.103399e-001
4.822709236824195e-002,2.392896e+000
4.822762804295633e-002,8.326340e+000
4.822764069017499e-002,8.396111e+000
4.822786834011078e-002,8.421151e+000
4.822809599004657e-002,8.441120e+000
4.822832363998236e-002,8.456017e+000
4.822855128991815e-002,8.465842e+000
4.822877893985395e-002,8.470596e+000
4.822900658978974e-002,8.470278e+000
4.822923423972553e-002,8.464889e+000
4.823195722875415e-002,8.470894e+000
4.823468021778277e-002,8.475458e+000
4.823740320681139e-002,8.478582e+000
4.824012619584001e-002,8.480264e+000
4.824284918486863e-002,8.480505e+000
4.824557217389726e-002,8.479305e+000
4.824829516292588e-002,8.476664e+000
4.881884645812572e-002,8.476664e+000
4.938939775332557e-002,8.476664e+000
4.995994904852542e-002,8.476664e+000
5.053050034372526e-002,8.476664e+000
5.110105163892510e-002,8.476664e+000
5.167160293412495e-002,8.476664e+000
5.224215422932479e-002,8.476664e+000
5.264215422932479e-002,8.476664e+000
5.304215422932479e-002,8.476663e+000
5.344215422932479e-002,8.476663e+000
5.384215422932479e-002,8.476663e+000
5.424215422932478e-002,8.476663e+000
5.464215422932478e-002,8.476663e+000
5.504215422932478e-002,8.476663e+000
5.544215422932478e-002,8.476663e+000
5.584215422932477e-002,8.476663e+000
5.624215422932477e-002,8.476663e+000
5.664215422932477e-002,8.476495e+000
5.704215422932477e-002,8.474991e+000
5.728009356766281e-002,8.471571e+000
5.755860687844663e-002,8.463541e+000
5.779123510644135e-002,8.451508e+000
5.807635472566121e-002,8.428238e+000
5.818625261293732e-002,8.402716e+000
5.819059108315267e-002,8.400938e+000
5.819926802358336e-002,8.395451e+000
5.821291888946505e-002,8.384291e+000
5.821482326492031e-002,8.381985e+000
5.821863201583083e-002,8.375811e+000
5.821927527205363e-002,8.374495e+000
5.822056178449922e-002,8.371063e+000
5.822214509382499e-002,8.365622e+000
5.822311789132878e-002,8.361324e+000
5.822323072927156e-002,8.360699e+000
5.822345640515712e-002,8.359203e+000
5.822390775692826e-002,8.355639e+000
5.822434757270661e-002,8.351161e+000
5.822470826489089e-002,8.346122e+000
5.822498746625415e-002,8.340510e+000
5.822523280450476e-002,8.333096e+000
5.822542970539368e-002,8.323735e+000
5.822557331260631e-002,8.312553e+000
5.822567839514854e-002,8.298813e+000
5.822576285755014e-002,8.279940e+000
5.822584031571665e-002,8.250039e+000
5.822592267730965e-002,8.196356e+000
5.822601041881688e-002,8.100830e+000
5.822610952534293e-002,7.919767e+000
5.822621138118544e-002,7.603570e+000
5.822631591940343e-002,7.049811e+000
5.822643447878728e-002,6.114367e+000
5.822648827374892e-002,5.556203e+000
5.822654601526697e-002,4.862624e+000
5.822687608998316e-002,7.194721e-001
5.822714563427089e-002,-2.500575e+000
5.822768472284638e-002,-8.345417e+000
5.822769550880959e-002,-8.402938e+000
5.822800023412657e-002,-8.427293e+000
5.822830495944356e-002,-8.446722e+000
5.822860968476055e-002,-8.461226e+000
5.822891441007753e-002,-8.470803e+000
5.822921913539451e-002,-8.475454e+000
5.822952386071150e-002,-8.475180e+000
5.822982858602849e-002,-8.469979e+000
5.823362216645733e-002,-8.473979e+000
5.823741574688618e-002,-8.476993e+000
5.824120932731502e-002,-8.479021e+000
5.824500290774387e-002,-8.480064e+000
5.824879648817272e-002,-8.480121e+000
5.825259006860156e-002,-8.479193e+000
5.825638364903041e-002,-8.477279e+000
5.879993290342459e-002,-8.477305e+000
5.934348215781877e-002,-8.477322e+000
5.988703141221295e-002,-8.477329e+000
6.043058066660713e-002,-8.477326e+000
6.097412992100131e-002,-8.477313e+000
6.151767917539550e-002,-8.477290e+000
6.206122842978967e-002,-8.477258e+000
6.246122842978967e-002,-8.477229e+000
6.286122842978967e-002,-8.477196e+000
6.326122842978967e-002,-8.477160e+000
6.366122842978966e-002,-8.477119e+000
6.406122842978966e-002,-8.477077e+000
6.446122842978966e-002,-8.477035e+000
6.486122842978966e-002,-8.476990e+000
6.526122842978965e-002,-8.476944e+000
6.566122842978965e-002,-8.476900e+000
6.606122842978965e-002,-8.476856e+000
6.646122842978965e-002,-8.476815e+000
6.686122842978964e-002,-8.476213e+000
6.714691916809253e-002,-8.473690e+000
6.745526358907826e-002,-8.467020e+000
6.768932659693530e-002,-8.457796e+000
6.795484229693498e-002,-8.442420e+000
6.806046788726665e-002,-8.428156e+000
6.820130200770887e-002,-8.394388e+000
6.820299312569034e-002,-8.393553e+000
6.820637536165326e-002,-8.390800e+000
6.821313983357913e-002,-8.384189e+000
6.821477085904484e-002,-8.382119e+000
6.821803290997629e-002,-8.376945e+000
6.821884842270914e-002,-8.375327e+000
6.822047944817486e-002,-8.371225e+000
6.822177307474552e-002,-8.367070e+000
6.822276960133644e-002,-8.363013e+000
6.822293133081650e-002,-8.362201e+000
6.822325478977663e-002,-8.360200e+000
6.822390170769688e-002,-8.355217e+000
6.822438444777057e-002,-8.350166e+000
6.822474724501321e-002,-8.344722e+000
6.822501604285604e-002,-8.338762e+000
6.822525037322978e-002,-8.330821e+000
6.822543214548191e-002,-8.321024e+000
6.822556368206426e-002,-8.309332e+000
6.822566183957024e-002,-8.294618e+000
6.822574338087023e-002,-8.273657e+000
6.822582091502108e-002,-8.238629e+000
6.822591309204293e-002,-8.168704e+000
6.822599889710322e-002,-8.057947e+000
6.822610616367619e-002,-7.825385e+000
6.822620333213976e-002,-7.463363e+000
6.822631598917621e-002,-6.773205e+000
6.822641914739225e-002,-5.865778e+000
6.822647666498433e-002,-5.228272e+000
6.822661624339979e-002,-3.506517e+000
6.822698995369522e-002,1.152945e+000
6.822738344515758e-002,5.356306e+000
6.822780730679968e-002,8.263725e+000
6.822787565023876e-002,8.430977e+000
6.822883189758749e-002,8.449598e+000
6.822978814493622e-002,8.464175e+000
6.823074439228495e-002,8.474707e+000
6.823170063963367e-002,8.481195e+000
6.823265688698241e-002,8.483638e+000
6.823361313433113e-002,8.482036e+000
6.823456938167986e-002,8.476390e+000
6.881332242386976e-002,8.476520e+000
6.939207546605963e-002,8.476620e+000
6.997082850824953e-002,8.476690e+000
7.054958155043940e-002,8.476729e+000
7.112833459262929e-002,8.476738e+000
7.170708763481917e-002,8.476716e+000
7.228584067700906e-002,8.476664e+000
7.268584067700906e-002,8.476663e+000
7.308584067700906e-002,8.476663e+000
7.348584067700906e-002,8.476663e+000
7.388584067700905e-002,8.476663e+000
7.428584067700905e-002,8.476663e+000
7.468584067700905e-002,8.476663e+000
7.508584067700905e-002,8.476663e+000
7.548584067700905e-002,8.476663e+000
7.588584067700904e-002,8.476663e+000
7.628584067700904e-002,8.476663e+000
7.668584067700904e-002,8.476382e+000
7.708584067700904e-002,8.474433e+000
7.733090726907677e-002,8.470401e+000
7.761001284598734e-002,8.461334e+000
7.786540012199564e-002,8.445214e+000
7.817271945551298e-002,8.408175e+000
7.818013463170592e-002,8.405446e+000
7.819496498409181e-002,8.398602e+000
7.819867257218829e-002,8.396455e+000
7.820608774838124e-002,8.390832e+000
7.821346981960255e-002,8.383823e+000
7.821506088363141e-002,8.381777e+000
7.821824301168914e-002,8.376626e+000
7.821903854370357e-002,8.375014e+000
7.822062960773243e-002,8.370930e+000
7.822189228239598e-002,8.366791e+000
7.822287075128802e-002,8.362727e+000
7.822302459973986e-002,8.361940e+000
7.822333229664355e-002,8.360011e+000
7.822394769045094e-002,8.355237e+000
7.822442371840149e-002,8.350261e+000
7.822478490995280e-002,8.344879e+000
7.822505413490037e-002,8.338972e+000
7.822529038157149e-002,8.331065e+000
7.822547397722755e-002,8.321301e+000
7.822560673734783e-002,8.309658e+000
7.822570549874694e-002,8.295054e+000
7.822578726752942e-002,8.274329e+000
7.822586474597600e-002,8.239754e+000
7.822595727244953e-002,8.170361e+000
7.822604267562196e-002,8.061276e+000
7.822614999243946e-002,7.831046e+000
7.822624697074264e-002,7.473526e+000
7.822635931541008e-002,6.786324e+000
7.822646835038918e-002,5.823534e+000
7.822652728672179e-002,5.166656e+000
7.822666539672034e-002,3.452252e+000
7.822685546727225e-002,1.061589e+000
7.822707146321915e-002,-1.667080e+000
7.822750345511295e-002,-6.143298e+000
7.822791157405620e-002,-8.347721e+000
7.822797531734976e-002,-8.436990e+000
7.822923439028749e-002,-8.454509e+000
7.823049346322521e-002,-8.468105e+000
7.823175253616294e-002,-8.477775e+000
7.823301160910065e-002,-8.483522e+000
7.823427068203838e-002,-8.485344e+000
7.823552975497609e-002,-8.483241e+000
7.823678882791382e-002,-8.477214e+000
7.881540755394462e-002,-8.477272e+000
7.939402627997542e-002,-8.477312e+000
7.997264500600622e-002,-8.477335e+000
8.055126373203701e-002,-8.477338e+000
8.112988245806782e-002,-8.477324e+000
8.170850118409861e-002,-8.477292e+000
8.228711991012941e-002,-8.477242e+000
8.268711991012941e-002,-8.477210e+000
8.308711991012940e-002,-8.477175e+000
8.348711991012940e-002,-8.477137e+000
8.388711991012940e-002,-8.477097e+000
8.428711991012940e-002,-8.477053e+000
8.468711991012939e-002,-8.477009e+000
8.508711991012939e-002,-8.476964e+000
8.548711991012939e-002,-8.476919e+000
8.588711991012939e-002,-8.476875e+000
8.628711991012938e-002,-8.476833e+000
8.668711991012938e-002,-8.476503e+000
8.708711991012938e-002,-8.474482e+000
8.733377573008645e-002,-8.470369e+000
8.761373624845704e-002,-8.461181e+000
8.787133171968416e-002,-8.444575e+000
8.817400691363321e-002,-8.407763e+000
8.818022416749120e-002,-8.405460e+000
8.819265867520718e-002,-8.399162e+000
8.820896695304467e-002,-8.388429e+000
8.821144892139503e-002,-8.386043e+000
8.821641285809574e-002,-8.379705e+000
8.821745930451930e-002,-8.377993e+000
8.821955219736641e-002,-8.373579e+000
8.822108061570716e-002,-8.369427e+000
8.822230165378300e-002,-8.365195e+000
8.822251637372312e-002,-8.364267e+000
8.822294581360336e-002,-8.361962e+000
8.822369168394909e-002,-8.356929e+000
8.822423536434436e-002,-8.351910e+000
8.822463900624626e-002,-8.346551e+000
8.822493680954578e-002,-8.340736e+000
8.822518564232192e-002,-8.333362e+000
8.822538343611519e-002,-8.324125e+000
8.822552780882539e-002,-8.313114e+000
8.822563374796209e-002,-8.299592e+000
8.822571876639758e-002,-8.281091e+000
8.822579631831010e-002,-8.251963e+000
8.822587815003632e-002,-8.199973e+000
8.822596587101553e-002,-8.106948e+000
8.822606411328911e-002,-7.932089e+000
8.822616645464468e-002,-7.622908e+000
8.822627045693368e-002,-7.086398e+000
8.822638830550671e-002,-6.178096e+000
8.822644205013241e-002,-5.630613e+000
8.822649754843076e-002,-4.971910e+000
8.822681927057598e-002,-9.674095e-001
8.822708486364522e-002,2.246575e+000
8.822761604978371e-002,8.305113e+000
8.822763076407128e-002,8.389627e+000
8.822783676409719e-002,8.426507e+000
8.822934991843988e-002,8.465993e+000
8.823223343664467e-002,8.471498e+000
8.823511695484947e-002,8.475676e+000
8.823800047305426e-002,8.478527e+000
8.824088399125904e-002,8.480051e+000
8.824376750946383e-002,8.480249e+000
8.824665102766863e-002,8.479120e+000
8.824953454587342e-002,8.476664e+000
8.882274982068550e-002,8.476664e+000
8.939596509549759e-002,8.476664e+000
8.996918037030967e-002,8.476664e+000
9.054239564512176e-002,8.476664e+000
9.111561091993384e-002,8.476664e+000
9.168882619474593e-002,8.476664e+000
9.226204146955801e-002,8.476664e+000
9.266204146955800e-002,8.476664e+000
9.306204146955800e-002,8.476663e+000
9.346204146955800e-002,8.476663e+000
9.386204146955800e-002,8.476663e+000
9.426204146955799e-002,8.476663e+000
9.466204146955799e-002,8.476663e+000
9.506204146955799e-002,8.476663e+000
9.546204146955799e-002,8.476663e+000
9.586204146955799e-002,8.476663e+000
9.626204146955798e-002,8.476663e+000
9.666204146955798e-002,8.476446e+000
9.706204146955798e-002,8.474751e+000
9.730241984470102e-002,8.471078e+000
9.758049791364695e-002,8.462626e+000
9.782453876292699e-002,8.448990e+000
9.810571357334307e-002,8.422946e+000
9.815362336853664e-002,8.414156e+000
9.817278728661408e-002,8.407225e+000
9.820537721619436e-002,8.391401e+000
9.820849111512230e-002,8.388993e+000
9.821471891297814e-002,8.382243e+000
9.821606151396858e-002,8.380353e+000
9.821874671594945e-002,8.375640e+000
9.821941801644467e-002,8.374197e+000
9.822076061743511e-002,8.370545e+000
9.822213422891492e-002,8.365772e+000
9.822307127364501e-002,8.361635e+000
9.822319630323437e-002,8.360951e+000
9.822344636241308e-002,8.359304e+000
9.822394648077050e-002,8.355330e+000
9.822439005168618e-002,8.350718e+000
9.822474728611312e-002,8.345562e+000
9.822502041276043e-002,8.339846e+000
9.822526272886309e-002,8.332171e+000
9.822545424346144e-002,8.322577e+000
9.822559279739461e-002,8.311154e+000
9.822569473409135e-002,8.297003e+000
9.822577777014185e-002,8.277267e+000
9.822585514275810e-002,8.245481e+000
9.822593889592200e-002,8.187610e+000
9.822602677852239e-002,8.085979e+000
9.822612785085812e-002,7.889852e+000
9.822622878253051e-002,7.556242e+000
9.822633493927556e-002,6.958679e+000
9.822645658952879e-002,5.946609e+000
9.822651302006534e-002,5.338784e+000
9.822664791397277e-002,3.671517e+000
9.822697790104971e-002,-4.838351e-001
9.822732850402498e-002,-4.477522e+000
