[s],CH2[V]
-2.2685E-03,1.000E-01
-2.2680E-03,1.160E-01
-2.2675E-03,1.160E-01
-2.2670E-03,1.160E-01
-2.2665E-03,1.240E-01
-2.2660E-03,1.080E-01
-2.2655E-03,1.160E-01
-2.2650E-03,1.080E-01
-2.2645E-03,1.160E-01
-2.2640E-03,1.080E-01
-2.2635E-03,1.160E-01
-2.2630E-03,1.080E-01
-2.2625E-03,1.080E-01
-2.2620E-03,1.160E-01
-2.2615E-03,1.080E-01
-2.2610E-03,1.240E-01
-2.2605E-03,1.160E-01
-2.2600E-03,1.240E-01
-2.2595E-03,1.160E-01
-2.2590E-03,1.160E-01
-2.2585E-03,1.080E-01
-2.2580E-03,1.160E-01
-2.2575E-03,1.160E-01
-2.2570E-03,1.240E-01
-2.2565E-03,1.240E-01
-2.2560E-03,1.160E-01
-2.2555E-03,1.160E-01
-2.2550E-03,1.160E-01
-2.2545E-03,1.240E-01
-2.2540E-03,1.160E-01
-2.2535E-03,1.240E-01
-2.2530E-03,1.240E-01
-2.2525E-03,1.160E-01
-2.2520E-03,1.240E-01
-2.2515E-03,1.160E-01
-2.2510E-03,1.240E-01
-2.2505E-03,1.400E-01
-2.2500E-03,1.320E-01
-2.2495E-03,1.240E-01
-2.2490E-03,1.240E-01
-2.2485E-03,1.160E-01
-2.2480E-03,1.320E-01
-2.2475E-03,1.240E-01
-2.2470E-03,1.320E-01
-2.2465E-03,1.240E-01
-2.2460E-03,1.240E-01
-2.2455E-03,1.320E-01
-2.2450E-03,1.320E-01
-2.2445E-03,1.320E-01
-2.2440E-03,1.320E-01
-2.2435E-03,1.400E-01
-2.2430E-03,1.320E-01
-2.2425E-03,1.240E-01
-2.2420E-03,1.240E-01
-2.2415E-03,1.320E-01
-2.2410E-03,1.400E-01
-2.2405E-03,1.400E-01
-2.2400E-03,1.400E-01
-2.2395E-03,1.320E-01
-2.2390E-03,1.320E-01
-2.2385E-03,1.320E-01
-2.2380E-03,1.400E-01
-2.2375E-03,1.320E-01
-2.2370E-03,1.480E-01
-2.2365E-03,1.400E-01
-2.2360E-03,1.240E-01
-2.2355E-03,1.400E-01
-2.2350E-03,1.400E-01
-2.2345E-03,1.480E-01
-2.2340E-03,1.480E-01
