time,V(n002)
3.570644030607558e-002,-8.804694e-001
3.570666979964653e-002,-8.807507e-001
3.570693837092130e-002,-8.810799e-001
3.570721137467231e-002,-8.814145e-001
3.570748257324186e-002,-8.817469e-001
3.570775829500705e-002,-8.820849e-001
3.570804700891585e-002,-8.824388e-001
3.570833900656766e-002,-8.827967e-001
3.570850496027803e-002,-8.830001e-001
3.570867231811354e-002,-8.832052e-001
3.570884580145778e-002,-8.834178e-001
3.570900937125102e-002,-8.836183e-001
3.570922095399610e-002,-8.838776e-001
3.570926063600040e-002,-8.839263e-001
3.570981742451890e-002,-8.846086e-001
3.571037421303740e-002,-8.852909e-001
3.571093100155591e-002,-8.859732e-001
3.571148779007442e-002,-8.866555e-001
3.571204457859292e-002,-8.873378e-001
3.571260136711142e-002,-8.880200e-001
3.571315815562993e-002,-8.887023e-001
3.596574195233025e-002,-1.196881e+000
3.621832574903057e-002,-1.493378e+000
3.647090954573089e-002,-1.778192e+000
3.672349334243120e-002,-2.051324e+000
3.697607713913152e-002,-2.312774e+000
3.722866093583185e-002,-2.562542e+000
3.748124473253216e-002,-2.800627e+000
3.788124473253216e-002,-3.133716e+000
3.828124473253216e-002,-3.417384e+000
3.868124473253216e-002,-3.647158e+000
3.908124473253215e-002,-3.819415e+000
3.948124473253215e-002,-3.931436e+000
3.988124473253215e-002,-3.982458e+000
4.025584355930807e-002,-3.972367e+000
4.065584355930807e-002,-3.899959e+000
4.105584355930807e-002,-3.767045e+000
4.145584355930806e-002,-3.574724e+000
4.185584355930806e-002,-3.326027e+000
4.225584355930806e-002,-3.024877e+000
4.265584355930806e-002,-2.676022e+000
4.305584355930806e-002,-2.284965e+000
4.345584355930805e-002,-1.857872e+000
4.385584355930805e-002,-1.401480e+000
4.425584355930805e-002,-9.229861e-001
4.465584355930805e-002,-4.299358e-001
4.505584355930804e-002,7.020576e-002
4.513831318004830e-002,1.739352e-001
4.522078280078854e-002,2.773812e-001
4.530325242152879e-002,3.805438e-001
