time,V(n002)
1.714586385536684e-002,-2.490427e+000
1.741392481752879e-002,-2.745618e+000
1.770467998876240e-002,-2.998634e+000
1.796976480838455e-002,-3.212878e+000
1.818781620733414e-002,-3.369033e+000
1.819314720086459e-002,-3.372685e+000
1.820380918792548e-002,-3.379872e+000
1.820647468469071e-002,-3.381663e+000
1.821180567822116e-002,-3.385236e+000
1.821599531847083e-002,-3.388039e+000
1.821704272853325e-002,-3.388739e+000
1.821913754865809e-002,-3.390136e+000
1.822092052364897e-002,-3.391325e+000
1.822136626739668e-002,-3.391622e+000
1.822225775489212e-002,-3.392216e+000
1.822308930505525e-002,-3.392770e+000
1.822376851049039e-002,-3.393222e+000
1.822427571916759e-002,-3.393559e+000
1.822467131393857e-002,-3.393822e+000
1.822496652973692e-002,-3.394019e+000
1.822521732220646e-002,-3.394185e+000
1.822541810668760e-002,-3.394319e+000
1.822556560785918e-002,-3.394417e+000
1.822567331857690e-002,-3.394489e+000
1.822575914234549e-002,-3.394546e+000
1.822583680500044e-002,-3.394597e+000
1.822591804036304e-002,-3.394651e+000
1.822600582460424e-002,-3.394710e+000
1.822610299134802e-002,-3.394774e+000
1.822620577493303e-002,-3.394842e+000
1.822630892570307e-002,-3.394911e+000
1.822642542757034e-002,-3.394988e+000
1.822647949268333e-002,-3.395024e+000
1.822653320091521e-002,-3.395060e+000
1.822671846970118e-002,-3.395183e+000
1.822685423901463e-002,-3.395273e+000
1.822712577764152e-002,-3.395454e+000
1.822766885489531e-002,-3.395814e+000
1.822768100485335e-002,-3.395823e+000
1.822789970409807e-002,-3.395968e+000
1.822811840334278e-002,-3.396113e+000
1.822833710258750e-002,-3.396258e+000
1.822855580183222e-002,-3.396403e+000
1.822877450107693e-002,-3.396549e+000
1.822899320032165e-002,-3.396694e+000
1.822921189956637e-002,-3.396839e+000
1.823183205201810e-002,-3.398576e+000
1.823445220446983e-002,-3.400311e+000
1.823707235692156e-002,-3.402044e+000
1.823969250937328e-002,-3.403774e+000
1.824231266182501e-002,-3.405501e+000
1.824493281427674e-002,-3.407225e+000
1.824755296672847e-002,-3.408947e+000
1.881153803065724e-002,-3.718005e+000
1.937552309458602e-002,-3.908071e+000
1.993950815851479e-002,-3.979146e+000
2.050349322244356e-002,-3.931229e+000
2.106747828637233e-002,-3.764321e+000
2.163146335030111e-002,-3.478421e+000
2.219544841422988e-002,-3.073530e+000
2.259544841422988e-002,-2.731543e+000
2.299544841422987e-002,-2.346478e+000
2.339544841422987e-002,-1.924408e+000
2.379544841422987e-002,-1.471988e+000
2.419544841422987e-002,-9.963547e-001
2.459544841422987e-002,-5.050080e-001
2.499544841422986e-002,-5.697138e-003
2.539544841422986e-002,4.937036e-001
2.579544841422986e-002,9.853184e-001
2.619544841422986e-002,1.461394e+000
2.659544841422985e-002,1.914423e+000
2.699544841422985e-002,2.341140e+000
2.723317822207090e-002,2.577354e+000
2.751748917917154e-002,2.839528e+000
2.773944934948622e-002,3.028214e+000
2.802584244649919e-002,3.254257e+000
2.814876529773734e-002,3.342326e+000
2.818388611237681e-002,3.366393e+000
2.819266631603668e-002,3.372352e+000
2.821022672335641e-002,3.384177e+000
2.821214245805901e-002,3.385463e+000
2.821597392746421e-002,3.388025e+000
2.821693179481551e-002,3.388664e+000
2.821884752951810e-002,3.389943e+000
2.822101139263045e-002,3.391386e+000
2.822144874524694e-002,3.391677e+000
2.822232345047993e-002,3.392260e+000
2.822310415097038e-002,3.392780e+000
2.822375200483591e-002,3.393211e+000
2.822425316598900e-002,3.393544e+000
2.822464223746447e-002,3.393803e+000
2.822493187059682e-002,3.393996e+000
2.822518113437857e-002,3.394161e+000
2.822537915703711e-002,3.394293e+000
2.822552457066366e-002,3.394390e+000
2.822563088718131e-002,3.394460e+000
2.822571605724165e-002,3.394517e+000
2.822579361948131e-002,3.394568e+000
2.822587538679090e-002,3.394623e+000
2.822596311719577e-002,3.394681e+000
2.822606125900085e-002,3.394746e+000
2.822616364991938e-002,3.394814e+000
2.822626757992363e-002,3.394884e+000
2.822638532815726e-002,3.394962e+000
2.822643908515061e-002,3.394998e+000
2.822649438447464e-002,3.395034e+000
2.822681563827295e-002,3.395248e+000
2.822708126830315e-002,3.395424e+000
2.822761252836353e-002,3.395777e+000
2.822762741964418e-002,3.395787e+000
2.822783589757330e-002,3.395925e+000
2.822935539814559e-002,3.396934e+000
2.823225123715041e-002,3.398854e+000
2.823514707615522e-002,3.400771e+000
2.823804291516004e-002,3.402685e+000
2.824093875416485e-002,3.404595e+000
2.824383459316967e-002,3.406502e+000
2.824673043217448e-002,3.408406e+000
2.824962627117929e-002,3.410306e+000
2.882294849308916e-002,3.722973e+000
2.939627071499902e-002,3.912791e+000
2.996959293690888e-002,3.979759e+000
3.054291515881875e-002,3.923877e+000
3.111623738072861e-002,3.745146e+000
3.168955960263847e-002,3.443566e+000
3.226288182454833e-002,3.019135e+000
