TIME  IN1  IN2  OUT1
2.471  -0.554199  3.652954  -0.5
2.461  -0.549927  3.64502  -0.5
2.451  -0.541992  3.630981  -0.5
2.441  -0.53894  3.625488  -0.5
2.432  -0.535278  3.619995  -0.5
2.422  -0.532227  3.615112  -0.5
2.412  -0.529785  3.612061  -0.5
2.402  -0.524902  3.605347  -0.5
2.393  -0.522461  3.602905  -0.5
2.383  -0.52063  3.600464  -0.5
2.373  -0.518188  3.598633  -0.5
2.363  -0.516357  3.598633  -0.5
2.354  -0.512695  3.597412  -0.5
2.344  -0.511475  3.596802  -0.5
2.334  -0.509644  3.598022  -0.5
2.324  -0.507812  3.598022  -0.5
2.314  -0.506592  3.598633  -0.5
2.305  -0.504761  3.602295  -0.5
2.295  -0.50415  3.603516  -0.5
2.285  -0.50293  3.605347  -0.5
2.275  -0.501709  3.607178  -0.5
2.266  -0.500488  3.609619  -0.5
2.256  -0.500488  3.61084  -0.5
2.246  -0.515137  -1.801147  -0.5
2.236  -0.513916  -3.100586  -0.5
2.227  -0.505981  -1.569214  -0.5
2.217  -0.498657  0.821533  -0.5
2.207  -0.496826  1.796265  -0.5
2.197  -0.504761  -0.71228  -0.5
2.188  -0.505371  -1.38855  -0.5
2.178  -0.501709  -0.806274  -0.5
2.168  -0.498657  0.241699  -0.5
2.158  -0.496826  0.734863  -0.5
2.148  -0.500488  -0.287476  -0.5
2.139  -0.500488  -0.628052  -0.5
2.129  -0.498657  -0.413818  -0.5
2.119  -0.496826  0.050659  -0.5
2.109  -0.496216  0.29541  -0.5
2.1  -0.498047  -0.141602  -0.5
2.09  -0.497437  -0.303345  -0.5
2.08  -0.496216  -0.202637  -0.5
2.07  -0.495605  0.01709  -0.5
2.061  -0.495605  0.12085  -0.5
2.051  -0.495605  -0.079956  -0.5
2.041  -0.495605  -0.131836  -0.5
2.031  -0.495605  -0.08667  -0.5
2.021  -0.494995  -0.004883  -0.5
2.012  -0.494995  0.022583  -0.5
2.002  -0.441284  -0.257568  -0.5
1.992  0.552979  -3.377075  0.5
1.982  0.551758  -3.372803  0.5
1.973  0.546875  -3.36731  0.5
1.963  0.542603  -3.361816  0.5
1.953  0.539551  -3.355103  0.5
1.943  0.532227  -3.345337  0.5
1.934  0.529175  -3.341675  0.5
1.924  0.525513  -3.338013  0.5
1.914  0.523071  -3.335571  0.5
1.904  0.52063  -3.33313  0.5
1.895  0.515747  -3.334961  0.5
1.885  0.512695  -3.334961  0.5
1.875  0.510864  -3.33374  0.5
1.865  0.508423  -3.33313  0.5
1.855  0.507202  -3.33252  0.5
1.846  0.50354  -3.331909  0.5
1.836  0.501709  -3.331909  0.5
1.826  0.501099  -3.33252  0.5
1.816  0.499878  -3.331299  0.5
1.807  0.498657  -3.331299  0.5
1.797  0.496826  -3.330688  0.5
1.787  0.495605  -3.328857  0.5
1.777  0.493774  -3.328247  0.5
1.768  0.493164  -3.325195  0.5
1.758  0.492554  -3.321533  0.5
1.748  0.491333  -3.314209  0.5
1.738  0.495605  -1.617432  0.5
1.729  0.501709  1.095581  0.5
1.719  0.50293  2.357178  0.5
1.709  0.496826  1.395264  0.5
1.699  0.491333  -0.426025  0.5
1.689  0.491943  -0.717773  0.5
1.68  0.494385  0.455322  0.5
1.67  0.494995  1.057739  0.5
1.66  0.492554  0.689087  0.5
1.65  0.489502  -0.095825  0.5
1.641  0.490112  -0.313721  0.5
1.631  0.491333  0.212402  0.5
1.621  0.491333  0.499268  0.5
1.611  0.489502  0.341797  0.5
1.602  0.489502  -0.022583  0.5
1.592  0.488892  -0.115356  0.5
1.582  0.489502  0.130615  0.5
1.572  0.488892  0.248413  0.5
1.563  0.488281  0.158691  0.5
1.553  0.487671  -0.005493  0.5
1.543  0.487671  -0.023804  0.5
1.533  0.487671  0.063477  0.5
1.523  0.487671  0.108032  0.5
1.514  0.48645  0.084839  0.5
1.504  0.454712  0.145874  0.5
1.494  -0.531006  3.638306  -0.5
1.484  -0.557251  3.659668  -0.5
1.475  -0.554199  3.654175  -0.5
1.465  -0.550537  3.64563  -0.5
1.455  -0.546265  3.638306  -0.5
1.445  -0.541992  3.632202  -0.5
1.436  -0.535889  3.619995  -0.5
1.426  -0.532837  3.615723  -0.5
1.416  -0.529785  3.612061  -0.5
1.406  -0.527344  3.607788  -0.5
1.396  -0.524902  3.605347  -0.5
1.387  -0.52124  3.600464  -0.5
1.377  -0.518188  3.598633  -0.5
1.367  -0.516357  3.599243  -0.5
1.357  -0.514526  3.598022  -0.5
1.348  -0.512695  3.597412  -0.5
1.338  -0.510254  3.597412  -0.5
1.328  -0.508423  3.598022  -0.5
1.318  -0.506592  3.599243  -0.5
1.309  -0.505981  3.600464  -0.5
1.299  -0.504761  3.601685  -0.5
1.289  -0.50354  3.603516  -0.5
1.279  -0.501709  3.607178  -0.5
1.27  -0.501099  3.609009  -0.5
1.26  -0.500488  3.61145  -0.5
1.25  -0.504761  2.064209  -0.5
1.24  -0.513916  -1.578369  -0.5
1.23  -0.506592  -1.737671  -0.5
1.221  -0.498657  0.665283  -0.5
1.211  -0.496826  1.780396  -0.5
1.201  -0.500488  0.964966  -0.5
1.191  -0.50415  -0.605469  -0.5
1.182  -0.502319  -0.876465  -0.5
1.172  -0.498657  0.180664  -0.5
1.162  -0.496826  0.737305  -0.5
1.152  -0.498657  0.426636  -0.5
1.143  -0.500488  -0.256958  -0.5
1.133  -0.499268  -0.449219  -0.5
1.123  -0.496826  0.023804  -0.5
1.113  -0.496216  0.306396  -0.5
1.104  -0.496826  0.199585  -0.5
1.094  -0.497437  -0.115967  -0.5
1.084  -0.496826  -0.22644  -0.5
1.074  -0.496216  -0.004883  -0.5
1.064  -0.495605  0.12207  -0.5
1.055  -0.496216  0.071411  -0.5
1.045  -0.496216  -0.068359  -0.5
1.035  -0.495605  -0.142822  -0.5
1.025  -0.495605  -0.021973  -0.5
1.016  -0.495605  0.031128  -0.5
1.006  -0.479126  -0.022583  -0.5
996.094  0.50293  -3.33313  0.5
986.328  0.552368  -3.377686  0.5
976.563  0.546875  -3.36792  0.5
966.797  0.542603  -3.362427  0.5
957.031  0.53894  -3.355103  0.5
947.266  0.534668  -3.35022  0.5
937.5  0.532227  -3.345337  0.5
927.734  0.525513  -3.338013  0.5
917.969  0.522461  -3.336182  0.5
908.203  0.52063  -3.33374  0.5
898.438  0.517578  -3.33313  0.5
888.672  0.515137  -3.334961  0.5
878.906  0.510864  -3.33374  0.5
869.141  0.509033  -3.33313  0.5
859.375  0.507812  -3.331909  0.5
849.609  0.505981  -3.331299  0.5
839.844  0.50354  -3.33252  0.5
830.078  0.501099  -3.331299  0.5
820.313  0.499878  -3.331299  0.5
810.547  0.499268  -3.330078  0.5
