TIME  IN1  IN2  OUT1
1.777  0.448608  -1.932983  0.445312
1.768  0.465088  -1.929932  0.464844
1.758  0.481567  -1.924438  0.484375
1.748  0.496826  -1.920166  0.496094
1.738  0.485229  2.071533  0.476562
1.729  0.46875  3.889771  0.457031
1.719  0.447388  3.911133  0.4375
1.709  0.426636  3.277588  0.417969
1.699  0.402832  1.325684  0.398438
1.689  0.370483  1.247559  0.378906
1.68  0.357056  2.545776  0.359375
1.67  0.339355  3.130493  0.339844
1.66  0.319824  2.65564  0.320312
1.65  0.299072  1.781616  0.300781
1.641  0.265503  1.61377  0.28125
1.631  0.250244  2.192383  0.261719
1.621  0.233154  2.503052  0.242188
1.611  0.215454  2.290649  0.222656
1.602  0.197144  1.900635  0.203125
1.592  0.163574  1.825562  0.183594
1.582  0.147705  2.041626  0.164062
1.572  0.131226  2.182007  0.144531
1.563  0.114136  2.122192  0.125
1.553  0.096436  1.954956  0.105469
1.543  0.064087  1.885376  0.085938
1.533  0.047607  2.001953  0.066406
1.523  0.030518  2.061157  0.046875
1.514  0.014038  2.023315  0.027344
1.504  -0.002441  1.954346  0.007812
1.494  -0.019531  1.906738  -0.011719
1.484  -0.05127  1.946411  -0.03125
1.475  -0.068359  2.005005  -0.050781
1.465  -0.084839  1.992188  -0.070312
1.455  -0.100098  1.948242  -0.089844
1.445  -0.117188  1.934814  -0.109375
1.436  -0.150146  1.948242  -0.128906
1.426  -0.166016  1.936646  -0.148438
1.416  -0.181885  1.948853  -0.167969
1.406  -0.198364  1.953735  -0.1875
1.396  -0.214233  1.948853  -0.207031
1.387  -0.247192  1.930542  -0.226562
1.377  -0.263672  1.924438  -0.246094
1.367  -0.279541  1.92627  -0.265625
1.357  -0.296021  1.928711  -0.285156
1.348  -0.311279  1.947632  -0.304688
1.338  -0.343628  1.936035  -0.324219
1.328  -0.360107  1.929932  -0.34375
1.318  -0.376587  1.932373  -0.363281
1.309  -0.393066  1.92688  -0.382812
1.299  -0.408936  1.920166  -0.402344
1.289  -0.424805  1.922607  -0.421875
1.279  -0.456543  1.951294  -0.441406
1.27  -0.473022  1.939697  -0.460938
1.26  -0.489502  1.930542  -0.480469
1.25  -0.505981  1.905518  -0.5
1.24  -0.50354  1.055908  -0.480469
1.23  -0.477295  -3.599243  -0.460938
1.221  -0.457153  -3.572998  -0.441406
1.211  -0.435791  -3.05481  -0.421875
1.201  -0.415039  -1.920166  -0.402344
1.191  -0.395508  -1.209717  -0.382812
1.182  -0.36377  -2.141113  -0.363281
1.172  -0.34729  -2.626953  -0.34375
1.162  -0.328979  -2.515259  -0.324219
1.152  -0.310059  -2.044067  -0.304688
1.143  -0.291748  -1.696167  -0.285156
1.133  -0.258179  -2.017822  -0.265625
1.123  -0.24231  -2.226562  -0.246094
1.113  -0.224609  -2.196045  -0.226562
1.104  -0.20752  -2.034912  -0.207031
1.094  -0.189819  -1.903687  -0.1875
1.084  -0.15625  -1.968994  -0.167969
1.074  -0.140381  -2.052002  -0.148438
1.064  -0.123291  -2.073364  -0.128906
1.055  -0.106201  -2.004395  -0.109375
1.045  -0.089722  -1.931763  -0.089844
1.035  -0.073242  -1.917114  -0.070312
1.025  -0.040283  -2.000732  -0.050781
1.016  -0.023193  -1.995239  -0.03125
1.006  -0.007324  -1.968994  -0.011719
996.094  0.009155  -1.96228  0.007812
986.328  0.026855  -1.90979  0.027344
976.563  0.058594  -1.972656  0.046875
966.797  0.075073  -1.987915  0.066406
957.031  0.091553  -1.972046  0.085938
947.266  0.108032  -1.938477  0.105469
937.5  0.123901  -1.922607  0.125
927.734  0.15686  -1.940918  0.144531
917.969  0.172729  -1.963501  0.164062
908.203  0.189209  -1.962891  0.183594
898.438  0.205078  -1.950073  0.203125
888.672  0.221558  -1.939087  0.222656
878.906  0.253906  -1.929932  0.242188
869.141  0.270386  -1.913452  0.261719
859.375  0.286255  -1.925049  0.28125
849.609  0.302124  -1.954956  0.300781
839.844  0.318604  -1.966553  0.320312
830.078  0.350342  -1.907349  0.339844
820.313  0.366821  -1.918335  0.359375
810.547  0.38269  -1.94397  0.378906
800.781  0.39978  -1.92688  0.398438
791.016  0.415649  -1.923828  0.417969
781.25  0.431519  -1.937866  0.4375
771.484  0.464478  -1.917725  0.457031
761.719  0.479736  -1.925049  0.476562
751.953  0.496216  -1.948853  0.496094
742.188  0.495605  -1.16272  0.484375
732.422  0.48645  1.862183  0.464844
722.656  0.450439  3.912354  0.445312
712.891  0.427856  3.395996  0.425781
703.125  0.404663  1.449585  0.40625
693.359  0.385132  0.497437  0.386719
683.594  0.371094  1.159668  0.367188
673.828  0.341187  3.118896  0.347656
664.063  0.320435  2.723389  0.328125
654.297  0.300293  1.829224  0.308594
644.531  0.282593  1.337891  0.289062
634.766  0.266724  1.585083  0.269531
625  0.234985  2.48291  0.25
615.234  0.217285  2.314453  0.230469
605.469  0.198364  1.937256  0.210938
595.703  0.181274  1.724854  0.191406
585.938  0.164795  1.791992  0.171875
576.172  0.132446  2.160645  0.152344
566.406  0.115967  2.147827  0.132812
556.641  0.098267  1.99707  0.113281
546.875  0.081177  1.855469  0.09375
537.109  0.065308  1.860962  0.074219
527.344  0.048828  1.976929  0.054688
517.578  0.015259  2.030029  0.035156
507.813  -0.001221  1.977539  0.015625
498.047  -0.0177  1.932373  -0.003906
488.281  -0.03479  1.889038  -0.023438
478.516  -0.050049  1.917114  -0.042969
468.75  -0.083008  1.990967  -0.0625
458.984  -0.099487  1.976929  -0.082031
449.219  -0.115967  1.951904  -0.101562
439.453  -0.132446  1.942139  -0.121094
429.688  -0.148926  1.932983  -0.140625
419.922  -0.181274  1.945801  -0.160156
410.156  -0.197754  1.950684  -0.179688
400.391  -0.213623  1.928711  -0.199219
390.625  -0.229492  1.930542  -0.21875
380.859  -0.245972  1.934204  -0.238281
371.094  -0.278931  1.920776  -0.257812
361.328  -0.2948  1.918945  -0.277344
351.563  -0.310669  1.953125  -0.296875
341.797  -0.326538  1.972046  -0.316406
332.031  -0.343628  1.928711  -0.335938
322.266  -0.375366  1.921387  -0.355469
312.5  -0.391235  1.936646  -0.375
302.734  -0.407715  1.936035  -0.394531
292.969  -0.423584  1.936646  -0.414062
283.203  -0.439453  1.930542  -0.433594
273.438  -0.455933  1.932373  -0.453125
263.672  -0.488281  1.916504  -0.472656
253.906  -0.50415  1.932983  -0.492188
244.141  -0.50415  1.225586  -0.488281
234.375  -0.494995  -1.699829  -0.46875
224.609  -0.478516  -3.582764  -0.449219
214.844  -0.437622  -3.133545  -0.429688
205.078  -0.415649  -2.012939  -0.410156
195.313  -0.396118  -1.237793  -0.390625
185.547  -0.380249  -1.383057  -0.371094
175.781  -0.36438  -2.088623  -0.351562
166.016  -0.3302  -2.559814  -0.332031
156.25  -0.310669  -2.075806  -0.3125
146.484  -0.292969  -1.685791  -0.292969
136.719  -0.276489  -1.70105  -0.273438
126.953  -0.26062  -2.012939  -0.253906
117.188  -0.22644  -2.236328  -0.234375
107.422  -0.20813  -2.03064  -0.214844
97.656  -0.19104  -1.838989  -0.195312
87.891  -0.17395  -1.844482  -0.175781
78.125  -0.158081  -1.976318  -0.15625
68.359  -0.124512  -2.097168  -0.136719
58.594  -0.106812  -2.000732  -0.117188
48.828  -0.090942  -1.907959  -0.097656
39.063  -0.073853  -1.907349  -0.078125
29.297  -0.057373  -1.969604  -0.058594
19.531  -0.040894  -2.006226  -0.039062
9.766  -0.007935  -1.985474  -0.019531
0  0.008545  -1.955566  0
-9.766  0.025635  -1.898804  0.019531
-19.531  0.041504  -1.901245  0.039062
-29.297  0.057373  -1.964722  0.058594
-39.063  0.090332  -1.984863  0.078125
-48.828  0.106812  -1.934814  0.097656
-58.594  0.123291  -1.924438  0.117188
-68.359  0.139771  -1.934814  0.136719
-78.125  0.15625  -1.941528  0.15625
-87.891  0.188599  -1.956787  0.175781
-97.656  0.205078  -1.950073  0.195312
-107.422  0.220947  -1.930542  0.214844
-117.188  0.236816  -1.931763  0.234375
-126.953  0.253296  -1.940918  0.253906
-136.719  0.285034  -1.915283  0.273438
-146.484  0.300903  -1.953735  0.292969
-156.25  0.317383  -1.981201  0.3125
-166.016  0.334473  -1.921387  0.332031
-175.781  0.349731  -1.895142  0.351562
-185.547  0.38208  -1.943359  0.371094
-195.313  0.39856  -1.942749  0.390625
-205.078  0.413818  -1.941528  0.410156
-214.844  0.430298  -1.940308  0.429688
-224.609  0.446167  -1.929321  0.449219
-234.375  0.463257  -1.90979  0.46875
-244.141  0.495605  -1.933594  0.488281
-253.906  0.496216  -1.298828  0.492188
-263.672  0.48645  1.607666  0.472656
-273.438  0.471191  3.823242  0.453125
-283.203  0.45105  3.912964  0.433594
-292.969  0.405884  1.568604  0.414062
-302.734  0.386353  0.50354  0.394531
-312.5  0.372314  1.079102  0.375
